scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.468490249939436, 2, 4.062479501786246], meas_params:[-0.2724051573696754, -0.33604599030564497], noise_params:[0.0006, 0.0001, 17.987814670028826], init_params:[3.5, 4, -0.3, -0.3, 15], optimal_params:[3.468490249939436, 4.062479501786246, -0.2724051573696754, -0.33604599030564497, 17.987814670028826], encoded_infidelity:0.006151951942441003, benchmark_infidelity:0.0038810956225390214, diff:0.0022708563199019816, ratio:1.5851070266638734
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.012216436476441, 2, 4.398047564418411], meas_params:[-0.2944088135810528, -0.3343502740681681], noise_params:[0.0004, 0.00015848931924611142, 11.172444993876152], init_params:[4, 4, -0.3, -0.3, 15], optimal_params:[4.012216436476441, 4.398047564418411, -0.2944088135810528, -0.3343502740681681, 11.172444993876152], encoded_infidelity:0.0022791395877002074, benchmark_infidelity:0.0017814958085166088, diff:0.0004976437791835986, ratio:1.2793404153995567
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.968859984097559, 2, 5.156453641306356], meas_params:[-0.31060453283176614, -0.33297346388490007], noise_params:[0.0001, 0.00015848931924611142, 7.471962196506038], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.968859984097559, 5.156453641306356, -0.31060453283176614, -0.33297346388490007, 7.471962196506038], encoded_infidelity:0.00018006131929781954, benchmark_infidelity:0.000446234543611701, diff:-0.00026617322431388146, ratio:0.4035127308622327
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.495651770810239, 2, 4.810262733879078], meas_params:[-0.30605600653900267, -0.3345914931215015], noise_params:[0.0002, 0.00015848931924611142, 9.463379868361113], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.495651770810239, 4.810262733879078, -0.30605600653900267, -0.3345914931215015, 9.463379868361113], encoded_infidelity:0.0006812248499882267, benchmark_infidelity:0.0008800884876528636, diff:-0.00019886363766463688, ratio:0.7740413146466752
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.194858650830689, 2, 4.621804592728928], meas_params:[-0.30072790021703016, -0.34159614804531585], noise_params:[0.0003, 0.00015848931924611142, 11.000449407553436], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.194858650830689, 4.621804592728928, -0.30072790021703016, -0.34159614804531585, 11.000449407553436], encoded_infidelity:0.0014715404006727661, benchmark_infidelity:0.0013886549698147732, diff:8.288543085799294e-05, ratio:1.0596875629005589
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.7802859086701757, 2, 4.218949680060842], meas_params:[-0.28477757283490396, -0.33346441629909124], noise_params:[0.0005, 0.00015848931924611142, 13.353775842491165], init_params:[4, 5, -0.3, -0.3, 15], optimal_params:[3.7802859086701757, 4.218949680060842, -0.28477757283490396, -0.33346441629909124, 13.353775842491165], encoded_infidelity:0.003753495137952645, benchmark_infidelity:0.002571443913614746, diff:0.0011820512243378989, ratio:1.4596838445821898
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.139501214085328, 2, 5.206627815147092], meas_params:[-0.31088653986047465, -0.33219951799882397], noise_params:[0.0001, 0.00025118864315095795, 6.604285585957459], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[5.139501214085328, 5.206627815147092, -0.31088653986047465, -0.33219951799882397, 6.604285585957459], encoded_infidelity:0.00017980877316270405, benchmark_infidelity:0.000496369381844719, diff:-0.00031656060868201497, ratio:0.3622479140322041
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.678461690038253, 2, 4.852692507103679], meas_params:[-0.30577417277855545, -0.33474307490750144], noise_params:[0.0002, 0.00025118864315095795, 7.7461947863971], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.678461690038253, 4.852692507103679, -0.30577417277855545, -0.33474307490750144, 7.7461947863971], encoded_infidelity:0.0006191991762496407, benchmark_infidelity:0.000839997108612156, diff:-0.00022079793236251533, ratio:0.7371444138333787
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.329726995873482, 2, 4.597341591646805], meas_params:[-0.29725684583948053, -0.3307048426493264], noise_params:[0.0003, 0.00025118864315095795, 9.470623582778348], init_params:[5, 5, -0.3, -0.3, 10], optimal_params:[4.329726995873482, 4.597341591646805, -0.29725684583948053, -0.3307048426493264, 9.470623582778348], encoded_infidelity:0.001393787800998858, benchmark_infidelity:0.0013417414077651069, diff:5.2046393233751154e-05, ratio:1.0387901818730056
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 4.136194780801887, 2, 4.425639608654306], meas_params:[-0.2951198709906334, -0.3334254600629546], noise_params:[0.0004, 0.00025118864315095795, 9.889712173934182], init_params:[4, 5, -0.3, -0.3, 10], optimal_params:[4.136194780801887, 4.425639608654306, -0.2951198709906334, -0.3334254600629546, 9.889712173934182], encoded_infidelity:0.0022119620742842017, benchmark_infidelity:0.0017296302360877425, diff:0.0004823318381964592, ratio:1.278864134155892
