# # This is combined data for gamma_phi = 10^-3, 10^-4. Diff only, not ratio.
================================ 
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.194254937304051, 2, 4.194254937304051], meas_params:[0.2747218064360508, 0.2747218064360508], noise_params:[8e-05, 0.0001, 48.37365347003854], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.194254937304051, 0.2747218064360508, 48.37365347003854], encoded_infidelity:0.002134235495351855, benchmark_infidelity:0.002091790818607997, diff:4.244467674385799e-05, leading_ec_infidelity:0.0008818453433500073, diff_leading:-0.0008394006666061493
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.5894948757390335, 2, 3.5894948757390335], meas_params:[0.2936374253590388, 0.2936374253590388], noise_params:[0.0009, 0.0001, 5.098673503139395], init_params:[4, 0.39269908169872414, 5], optimal_params:[3.5894948757390335, 0.2936374253590388, 5.098673503139395], encoded_infidelity:0.00921575480546366, benchmark_infidelity:0.0016117455954164361, diff:0.0076040092100472245, leading_ec_infidelity:0.006691732799654182, diff_leading:0.0009122764103930425
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.5648731844852275, 2, 3.5648731844852275], meas_params:[0.2917050045244106, 0.2917050045244106], noise_params:[0.0009, 0.0001, 4.497082557084883], init_params:[5, 0.39269908169872414, 10], optimal_params:[3.5648731844852275, 0.2917050045244106, 4.497082557084883], encoded_infidelity:0.009014594230220108, benchmark_infidelity:0.0014218708545948866, diff:0.007592723375625221, leading_ec_infidelity:0.006638931165946715, diff_leading:0.0009537922096785056
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.151007331058637, 2, 4.151007331058637], meas_params:[0.28490317890488914, 0.28490317890488914], noise_params:[9e-05, 0.0001, 37.80309560389624], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.151007331058637, 0.28490317890488914, 37.80309560389624], encoded_infidelity:0.0019558133351553764, benchmark_infidelity:0.001761033934985945, diff:0.0001947794001694314, leading_ec_infidelity:0.0009578027411638601, diff_leading:-0.0007630233409944287
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.167151670953173, 2, 4.167151670953173], meas_params:[0.2815768100240128, 0.2815768100240128], noise_params:[9e-05, 0.0001, 42.21147515490325], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.167151670953173, 0.2815768100240128, 42.21147515490325], encoded_infidelity:0.002151741294841414, benchmark_infidelity:0.001965991083134, diff:0.0001857502117074139, leading_ec_infidelity:0.0009672956584877435, diff_leading:-0.0007815454467803296
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.1660578517747044, 2, 4.1660578517747044], meas_params:[0.2795192942364192, 0.2795192942364192], noise_params:[9e-05, 0.0001, 41.565002411425425], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.1660578517747044, 0.2795192942364192, 41.565002411425425], encoded_infidelity:0.0021215952816090455, benchmark_infidelity:0.0019359401463461268, diff:0.00018565513526291877, leading_ec_infidelity:0.0009588730651488575, diff_leading:-0.0007732179298859387
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.186513553282126, 2, 4.186513553282126], meas_params:[0.2794272320883451, 0.2794272320883451], noise_params:[9e-05, 0.0001, 42.12117740994635], init_params:[7, 0.39269908169872414, 20], optimal_params:[4.186513553282126, 0.2794272320883451, 42.12117740994635], encoded_infidelity:0.002148896000008782, benchmark_infidelity:0.001961793750176466, diff:0.00018710224983231605, leading_ec_infidelity:0.0009611330868194434, diff_leading:-0.0007740308369871274
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.151007331058637, 2, 4.151007331058637], meas_params:[0.28490317890488914, 0.28490317890488914], noise_params:[9e-05, 0.0001, 37.80309560389624], init_params:[4, 0.39269908169872414, 5], optimal_params:[4.151007331058637, 0.28490317890488914, 37.80309560389624], encoded_infidelity:0.0019558133351553764, benchmark_infidelity:0.001761033934985945, diff:0.0001947794001694314, leading_ec_infidelity:0.0009578027411638601, diff_leading:-0.0007630233409944287
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.167151670953173, 2, 4.167151670953173], meas_params:[0.2815768100240128, 0.2815768100240128], noise_params:[9e-05, 0.0001, 42.21147515490325], init_params:[5, 0.39269908169872414, 10], optimal_params:[4.167151670953173, 0.2815768100240128, 42.21147515490325], encoded_infidelity:0.002151741294841414, benchmark_infidelity:0.001965991083134, diff:0.0001857502117074139, leading_ec_infidelity:0.0009672956584877435, diff_leading:-0.0007815454467803296
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.1660578517747044, 2, 4.1660578517747044], meas_params:[0.2795192942364192, 0.2795192942364192], noise_params:[9e-05, 0.0001, 41.565002411425425], init_params:[6, 0.39269908169872414, 15], optimal_params:[4.1660578517747044, 0.2795192942364192, 41.565002411425425], encoded_infidelity:0.0021215952816090455, benchmark_infidelity:0.0019359401463461268, diff:0.00018565513526291877, leading_ec_infidelity:0.0009588730651488575, diff_leading:-0.0007732179298859387
