scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999890145425, 1, 6.020793590915856], meas_params:[-0.1182526346483404, 0.0005253672820366407], noise_params:[0.0001, 0, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.999999890145425, 6.020793590915856, -0.1182526346483404, 0.0005253672820366407], encoded_infidelity:1.935019354859513e-06, benchmark_infidelity:3.333208336853133e-05, diff:-3.1397064013671816e-05, ratio:0.05805275756289378
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999782851773, 1, 5.990254747924285], meas_params:[-0.1298451080045117, -8.639561042986504e-05], noise_params:[0.0002, 0, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.999999782851773, 5.990254747924285, -0.1298451080045117, -8.639561042986504e-05], encoded_infidelity:6.2428984196616355e-06, benchmark_infidelity:6.666166694480058e-05, diff:-6.0418768525138944e-05, ratio:0.09365049969169072
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.950891527802142, 1, 5.099992648098791], meas_params:[-0.14173900989719718, -0.0001982155173400578], noise_params:[0.0004, 0, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.950891527802142, 5.099992648098791, -0.14173900989719718, -0.0001982155173400578], encoded_infidelity:2.6590893321909448e-05, benchmark_infidelity:0.00013331333555555158, diff:-0.00010672244223364213, ratio:0.1994616158323414
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.116546720499322, 1, 8.220074073599378], meas_params:[-0.1395444858694244, 0.0015405985114580107], noise_params:[0.0008, 0, 1], init_params:[8, 8, -0.2945243112740431, 0], optimal_params:[8.116546720499322, 8.220074073599378, -0.1395444858694244, 0.0015405985114580107], encoded_infidelity:0.00012972753199269604, benchmark_infidelity:0.00026658668444101696, diff:-0.00013685915244832092, ratio:0.4866241997971906
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.139301062263205, 1, 7.960879228705144], meas_params:[-0.13308995081605698, 0.00016721987843392074], noise_params:[0.0016, 0, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[7.139301062263205, 7.960879228705144, -0.13308995081605698, 0.00016721987843392074], encoded_infidelity:0.0005802376475788629, benchmark_infidelity:0.0005330134755044957, diff:4.722417207436713e-05, ratio:1.088598458096523
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.558229326704971, 1, 7.521566871030082], meas_params:[-0.136340196901684, -0.0007091538391063748], noise_params:[0.0012000000000000001, 0, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[7.558229326704971, 7.521566871030082, -0.136340196901684, -0.0007091538391063748], encoded_infidelity:0.0003157617767288734, benchmark_infidelity:0.0003998200599837354, diff:-8.405828325486198e-05, ratio:0.7897597152622071
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999428350776, 1, 6.838985415003173], meas_params:[-0.10411980016795733, 3.739701081328761e-05], noise_params:[0.0001, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.999999428350776, 6.838985415003173, -0.10411980016795733, 3.739701081328761e-05], encoded_infidelity:4.383444274780324e-06, benchmark_infidelity:4.99975000837205e-05, diff:-4.561405580894018e-05, ratio:0.08767326901225608
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999680700963, 1, 7.0691803223870995], meas_params:[-0.11758103908045721, -0.00040790354215954153], noise_params:[0.0002, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.999999680700963, 7.0691803223870995, -0.11758103908045721, -0.00040790354215954153], encoded_infidelity:1.2589257416539823e-05, benchmark_infidelity:8.332625040952113e-05, diff:-7.073699299298131e-05, ratio:0.1510839303900963
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999913293845, 1, 7.103745886147829], meas_params:[-0.13152545782823577, -4.2159054245990763e-05], noise_params:[0.0004, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[8.999999913293845, 7.103745886147829, -0.13152545782823577, -4.2159054245990763e-05], encoded_infidelity:4.247293655412765e-05, benchmark_infidelity:0.0001499762526457893, diff:-0.00010750331609166164, ratio:0.2831977450086003
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.337270639935905, 1, 8.123967883659658], meas_params:[-0.13462110472280645, 0.0014775867751443982], noise_params:[0.0008, 0.0001, 1], init_params:[8, 8, -0.2945243112740431, 0], optimal_params:[8.337270639935905, 8.123967883659658, -0.13462110472280645, 0.0014775867751443982], encoded_infidelity:0.00018082652956463718, benchmark_infidelity:0.00028324626928133423, diff:-0.00010241973971669704, ratio:0.638407453780199
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.2003458878018884, 1, 7.717637185621069], meas_params:[-0.12687330115971374, -0.0008280130357182364], noise_params:[0.0016, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[7.2003458878018884, 7.717637185621069, -0.12687330115971374, -0.0008280130357182364], encoded_infidelity:0.0007317080860235192, benchmark_infidelity:0.0005496663978435956, diff:0.0001820416881799236, ratio:1.3311857681206165
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.680678405663347, 1, 7.320884214165959], meas_params:[-0.13075114356035544, 0.00013085579820632095], noise_params:[0.0012000000000000001, 0.0001, 1], init_params:[8, 8, -0.09817477042468103, 0], optimal_params:[7.680678405663347, 7.320884214165959, -0.13075114356035544, 0.00013085579820632095], encoded_infidelity:0.0004147137616987706, benchmark_infidelity:0.000416476313240266, diff:-1.7625515414954052e-06, ratio:0.9957679428926404
