scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999999999539554, 1, 9], meas_params:[-0.11823605632881773, 0], noise_params:[0.0001, 0, 7.5153190225738395], init_params:[8, -0.15, 8], optimal_params:[8.999999999539554, -0.11823605632881773, 7.5153190225738395], encoded_infidelity:2.857378373133379e-06, benchmark_infidelity:0.00025044004879681836, diff:-0.000247582670423685, ratio:0.011409430667582907
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.938221158239953, 1, 9], meas_params:[-0.1286954886497438, 0], noise_params:[0.0002, 0, 4.814526589267645], init_params:[8, -0.05, 8], optimal_params:[8.938221158239953, -0.1286954886497438, 4.814526589267645], encoded_infidelity:9.80981985276852e-06, benchmark_infidelity:0.0003208525719465838, diff:-0.00031104275209381527, ratio:0.030574228510163476
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.80828708151515, 1, 9], meas_params:[-0.11645427869673054, 0], noise_params:[0.0004, 0, 5.068018265345557], init_params:[8, -0.1, 8], optimal_params:[7.80828708151515, -0.11645427869673054, 5.068018265345557], encoded_infidelity:5.8446001814593807e-05, benchmark_infidelity:0.0006752223616673936, diff:-0.0006167763598527998, ratio:0.0865581549613779
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.003781986439977, 1, 9], meas_params:[-0.07213832812914414, 0], noise_params:[0.0008, 0, 7.778725592564326], init_params:[7, -0.1, 9], optimal_params:[6.003781986439977, -0.07213832812914414, 7.778725592564326], encoded_infidelity:0.0004112168212756506, benchmark_infidelity:0.002069494494870816, diff:-0.0016582776735951654, ratio:0.19870399379889145
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 5.251291104999954, 1, 9], meas_params:[-0.06219984188002042, 0], noise_params:[0.0016, 0, 7.379337997379086], init_params:[6, -0.05, 9], optimal_params:[5.251291104999954, -0.06219984188002042, 7.379337997379086], encoded_infidelity:0.0016239650980057752, benchmark_infidelity:0.0039182784495320755, diff:-0.0022943133515263003, ratio:0.41445882902980274
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.412196424713342, 1, 9], meas_params:[-0.04820986160801648, 0], noise_params:[0.0032, 0, 7.974459725956964], init_params:[5, -0.1, 9], optimal_params:[4.412196424713342, -0.04820986160801648, 7.974459725956964], encoded_infidelity:0.006560201094599649, benchmark_infidelity:0.00842526628797724, diff:-0.0018650651933775908, ratio:0.778634273430738
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.085966052728564, 1, 9], meas_params:[-0.04660463799066048, 0], noise_params:[0.0048, 0, 7.581836601382415], init_params:[4, -0.1, 11], optimal_params:[4.085966052728564, -0.04660463799066048, 7.581836601382415], encoded_infidelity:0.012618464604691515, benchmark_infidelity:0.011967043933360011, diff:0.000651420671331504, ratio:1.0544345516703224
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 3.0597750704177598, 1, 9], meas_params:[-0.018300968799153203, 0], noise_params:[0.0064, 0, 15.622911022601635], init_params:[4, -0.2945243112740431, 12], optimal_params:[3.0597750704177598, -0.018300968799153203, 15.622911022601635], encoded_infidelity:0.039599979025098264, benchmark_infidelity:0.032113153039410425, diff:0.007486825985687839, ratio:1.2331389252403753
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.19474922752633, 1, 9], meas_params:[-0.045711439889359246, 0], noise_params:[0.004, 0, 7.99894073615417], init_params:[4.5, -0.05, 10], optimal_params:[4.19474922752633, -0.045711439889359246, 7.99894073615417], encoded_infidelity:0.00970834037622803, benchmark_infidelity:0.01053841739652217, diff:-0.0008300770202941399, ratio:0.9212332374908516
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.715993846120831, 1, 9], meas_params:[-0.0510192400179624, 0], noise_params:[0.0028, 0.0001, 7.218313024487838], init_params:[5.5, -0.05, 6], optimal_params:[4.715993846120831, -0.0510192400179624, 7.218313024487838], encoded_infidelity:0.005521281026027558, benchmark_infidelity:0.006805389659021999, diff:-0.0012841086329944407, ratio:0.8113100502199635
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.846435618498976, 1, 9], meas_params:[-0.058541061195672206, 0], noise_params:[0.0029, 0.0001, 6.631674819532336], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.846435618498976, -0.058541061195672206, 6.631674819532336], encoded_infidelity:0.0054354826184837, benchmark_infidelity:0.006474083903917127, diff:-0.001038601285433427, ratio:0.8395755599019926
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.642579578169953, 1, 9], meas_params:[-0.050497782766866915, 0], noise_params:[0.003, 0.0001, 7.294831250807394], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.642579578169953, -0.050497782766866915, 7.294831250807394], encoded_infidelity:0.006286330198420842, benchmark_infidelity:0.007355562492261769, diff:-0.001069232293840927, ratio:0.8546362300686337
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.560478802368326, 1, 9], meas_params:[-0.048300053516511995, 0], noise_params:[0.0031, 0.0001, 7.499017474387784], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.560478802368326, -0.048300053516511995, 7.499017474387784], encoded_infidelity:0.00683277875061028, benchmark_infidelity:0.007805382195120725, diff:-0.0009726034445104448, ratio:0.8753932324904685
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.519737371921628, 1, 9], meas_params:[-0.04843960089910361, 0], noise_params:[0.0032, 0.0001, 7.700632223178717], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.519737371921628, -0.04843960089910361, 7.700632223178717], encoded_infidelity:0.007407002460210754, benchmark_infidelity:0.008265368578991406, diff:-0.0008583661187806513, ratio:0.8961490814865276
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.495899385761302, 1, 9], meas_params:[-0.047527171618810315, 0], noise_params:[0.0033, 0.0001, 7.483487132598756], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.495899385761302, -0.047527171618810315, 7.483487132598756], encoded_infidelity:0.0075795528224432696, benchmark_infidelity:0.008279293532097554, diff:-0.000699740709654284, ratio:0.9154830412834747
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.464434041370884, 1, 9], meas_params:[-0.047699903128691934, 0], noise_params:[0.0034, 0.0001, 7.651965760820334], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.464434041370884, -0.047699903128691934, 7.651965760820334], encoded_infidelity:0.008148713822836995, benchmark_infidelity:0.008714087713809548, diff:-0.0005653738909725536, ratio:0.9351195547324381
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.381906426627878, 1, 9], meas_params:[-0.04533628387507935, 0], noise_params:[0.0035, 0.0001, 7.792743470262739], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.381906426627878, -0.04533628387507935, 7.792743470262739], encoded_infidelity:0.008700300355907742, benchmark_infidelity:0.009127341183663873, diff:-0.00042704082775613106, ratio:0.9532130092254633
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.326877097743493, 1, 9], meas_params:[-0.04369131918501558, 0], noise_params:[0.0036, 0.0001, 8.074267540374851], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.326877097743493, -0.04369131918501558, 8.074267540374851], encoded_infidelity:0.009437606007907107, benchmark_infidelity:0.00971695699426256, diff:-0.0002793509863554533, ratio:0.9712511863003616
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.301115191739566, 1, 9], meas_params:[-0.043174127684219035, 0], noise_params:[0.0037, 0.0001, 8.021782016347382], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.301115191739566, -0.043174127684219035, 8.021782016347382], encoded_infidelity:0.009804973212437118, benchmark_infidelity:0.009916016303531783, diff:-0.0001110430910946647, ratio:0.9888016429485786
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 4.279571126006159, 1, 9], meas_params:[-0.043283087696936645, 0], noise_params:[0.0038, 0.0001, 7.986317560604119], init_params:[4.5, -0.05, 8.5], optimal_params:[4.279571126006159, -0.043283087696936645, 7.986317560604119], encoded_infidelity:0.010194700191082817, benchmark_infidelity:0.010132915598069392, diff:6.178459301342532e-05, ratio:1.0060974151432978
