#This data misses one location of the leading EC. The location at the end of the output mode should be pushed to the trailing EC.
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.065740513544951, 2, 5.065740513544951], meas_params:[0.32190492082154987, 0.32190492082154987], noise_params:[0.0004, 0.001, 2.498510547980082], init_params:[5, 0.39269908169872414, 10], optimal_params:[5.065740513544951, 0.32190492082154987, 2.498510547980082], encoded_infidelity:0.0011763682631192873, benchmark_infidelity:0.0007489604464755439, diff:0.0004274078166437434, leading_ec_infidelity:0.0003394692280686007, diff_leading:8.79385885751427e-05
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.69035472876253, 3, 7.69035472876253], meas_params:[0.05958191722674969, 0.05958191722674969], noise_params:[5e-05, 0.001, 9.006029079414954], init_params:[4, 0.34906585039886584, 5], optimal_params:[7.69035472876253, 0.05958191722674969, 9.006029079414954], encoded_infidelity:0.0008792871340173036, benchmark_infidelity:0.001647368377008518, diff:-0.0007680812429912143, leading_ec_infidelity:0.000303436457432138, diff_leading:-0.0010715177004233523
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.699658577214606, 3, 7.699658577214606], meas_params:[0.06115031503011749, 0.06115031503011749], noise_params:[5e-05, 0.001, 8.94545028792811], init_params:[5, 0.34906585039886584, 10], optimal_params:[7.699658577214606, 0.06115031503011749, 8.94545028792811], encoded_infidelity:0.0008679830198690119, benchmark_infidelity:0.0016363123302874927, diff:-0.0007683293104184807, leading_ec_infidelity:0.0003007883058655514, diff_leading:-0.0010691176162840321
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.236081111541212, 3, 7.236081111541212], meas_params:[0.05037258369024872, 0.05037258369024872], noise_params:[5e-05, 0.001, 10.593674684034948], init_params:[6, 0.34906585039886584, 15], optimal_params:[7.236081111541212, 0.05037258369024872, 10.593674684034948], encoded_infidelity:0.0012073639565007843, benchmark_infidelity:0.0019370044807723863, diff:-0.000729640524271602, leading_ec_infidelity:0.0004412761562569978, diff_leading:-0.0011709166805285998
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 8.406861144290357, 3, 8.406861144290357], meas_params:[0.06313640173362978, 0.06313640173362978], noise_params:[5e-05, 0.001, 8.5795648262207], init_params:[7, 0.34906585039886584, 20], optimal_params:[8.406861144290357, 0.06313640173362978, 8.5795648262207], encoded_infidelity:0.0008300253869135688, benchmark_infidelity:0.0015695285460157749, diff:-0.0007395031591022061, leading_ec_infidelity:0.00026030232967444444, diff_leading:-0.0009998054887766505
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.976839302718842, 3, 7.976839302718842], meas_params:[0.07667818952488317, 0.07667818952488317], noise_params:[6e-05, 0.001, 6.829139200178668], init_params:[4, 0.34906585039886584, 5], optimal_params:[7.976839302718842, 0.07667818952488317, 6.829139200178668], encoded_infidelity:0.0006326607205952017, benchmark_infidelity:0.001272577897770244, diff:-0.0006399171771750423, leading_ec_infidelity:0.0001983231755161574, diff_leading:-0.0008382403526911997
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.496136935461665, 3, 7.496136935461665], meas_params:[0.06669682348274328, 0.06669682348274328], noise_params:[6e-05, 0.001, 8.121382766724658], init_params:[5, 0.34906585039886584, 10], optimal_params:[7.496136935461665, 0.06669682348274328, 8.121382766724658], encoded_infidelity:0.0008541097241069329, benchmark_infidelity:0.0015128882113657482, diff:-0.0006587784872588154, leading_ec_infidelity:0.0002880957876185697, diff_leading:-0.0009468742748773851
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.62877383912431, 3, 6.62877383912431], meas_params:[0.043307502310989204, 0.043307502310989204], noise_params:[6e-05, 0.001, 9.13475109405644], init_params:[6, 0.34906585039886584, 15], optimal_params:[6.62877383912431, 0.043307502310989204, 9.13475109405644], encoded_infidelity:0.0011148433893423126, benchmark_infidelity:0.0017012282509883958, diff:-0.0005863848616460832, leading_ec_infidelity:0.00039045822080263637, diff_leading:-0.0009768430824487195
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.433697241814125, 3, 7.433697241814125], meas_params:[0.08432831955984371, 0.08432831955984371], noise_params:[8e-05, 0.001, 6.338728746083522], init_params:[4, 0.34906585039886584, 5], optimal_params:[7.433697241814125, 0.08432831955984371, 6.338728746083522], encoded_infidelity:0.000734095789156286, benchmark_infidelity:0.0012235156354055698, diff:-0.0004894198462492838, leading_ec_infidelity:0.0002334470412378442, diff_leading:-0.000722866887487128
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.382343358291636, 3, 7.382343358291636], meas_params:[0.08321610917350433, 0.08321610917350433], noise_params:[8e-05, 0.001, 6.591980287003851], init_params:[5, 0.34906585039886584, 10], optimal_params:[7.382343358291636, 0.08321610917350433, 6.591980287003851], encoded_infidelity:0.00078278246471708, benchmark_infidelity:0.001272316979961996, diff:-0.000489534515244916, leading_ec_infidelity:0.0002520584848945129, diff_leading:-0.0007415930001394289
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.558998205254232, 3, 7.558998205254232], meas_params:[0.08088573378679467, 0.08088573378679467], noise_params:[8e-05, 0.001, 7.214895003774693], init_params:[6, 0.34906585039886584, 15], optimal_params:[7.558998205254232, 0.08088573378679467, 7.214895003774693], encoded_infidelity:0.0009141972888361272, benchmark_infidelity:0.0013923253669391178, diff:-0.00047812807810299063, leading_ec_infidelity:0.0002857829765480213, diff_leading:-0.0007639110546510119
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 7.293517078134427, 3, 7.293517078134427], meas_params:[0.08820705068720691, 0.08820705068720691], noise_params:[9e-05, 0.001, 5.944737160936356], init_params:[4, 0.34906585039886584, 5], optimal_params:[7.293517078134427, 0.08820705068720691, 5.944737160936356], encoded_infidelity:0.0007475117447667268, benchmark_infidelity:0.001167360207008472, diff:-0.0004198484622417453, leading_ec_infidelity:0.00023600023692216254, diff_leading:-0.0006558486991639079
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.572887330044111, 3, 6.572887330044111], meas_params:[0.0516269542752438, 0.0516269542752438], noise_params:[9e-05, 0.001, 11.059980302197168], init_params:[5, 0.34906585039886584, 10], optimal_params:[6.572887330044111, 0.0516269542752438, 11.059980302197168], encoded_infidelity:0.0021252811205511035, benchmark_infidelity:0.0021690035609642777, diff:-4.372244041317419e-05, leading_ec_infidelity:0.0007267103255742535, diff_leading:-0.0007704327659874277
