scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.989911313411156, 3, 8.958778726300444], meas_params:[-0.2714602431147711, -0.28009897152992214], noise_params:[0.0001, 0, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.989911313411156, 8.958778726300444, -0.2714602431147711, -0.28009897152992214], encoded_infidelity:3.0427256202947284e-05, benchmark_infidelity:3.333208336853133e-05, diff:-2.904827165584045e-06, ratio:0.9128519170713919
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999085164883663, 3, 8.995105648802351], meas_params:[-0.28455742882047025, -0.2866103159109671], noise_params:[0.0002, 0, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999085164883663, 8.995105648802351, -0.28455742882047025, -0.2866103159109671], encoded_infidelity:9.183290531744603e-05, benchmark_infidelity:6.666166694480058e-05, diff:2.5171238372645455e-05, ratio:1.3775968937813778
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999799587466095, 3, 8.953507836791424], meas_params:[-0.28255430856362085, -0.28527120928610783], noise_params:[0.00015000000000000001, 0, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999799587466095, 8.953507836791424, -0.28255430856362085, -0.28527120928610783], encoded_infidelity:5.720338520409651e-05, benchmark_infidelity:4.999718761722338e-05, diff:7.206197586873131e-06, ratio:1.1441320588278587
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999971924079581, 3, 8.948273533485922], meas_params:[-0.27790405953553654, -0.2802047831092324], noise_params:[0.000125, 0, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999971924079581, 8.948273533485922, -0.27790405953553654, -0.2802047831092324], encoded_infidelity:4.2289515347682105e-05, benchmark_infidelity:4.1664713609890214e-05, diff:6.248017377918913e-07, ratio:1.0149959446173555
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999742653695881, 3, 8.998683845935895], meas_params:[-0.25952883772638347, -0.26447947313254677], noise_params:[5e-05, 0, 1], init_params:[8.5, 8.5, -0.3, -0.3], optimal_params:[8.999742653695881, 8.998683845935895, -0.25952883772638347, -0.26447947313254677], encoded_infidelity:1.0566859531380146e-05, benchmark_infidelity:1.6666354170968845e-05, diff:-6.099494639588698e-06, ratio:0.6340234596590165
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999846180289929, 3, 8.992889789329446], meas_params:[-0.27076030970200105, -0.2729304484186673], noise_params:[0.0001, 1e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999846180289929, 8.992889789329446, -0.27076030970200105, -0.2729304484186673], encoded_infidelity:3.1309613683583315e-05, benchmark_infidelity:3.49986625373111e-05, diff:-3.6890488537277832e-06, ratio:0.8945945762985945
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998126728956432, 3, 8.98962329683212], meas_params:[-0.2838988339308567, -0.2865087113456364], noise_params:[0.0002, 1e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998126728956432, 8.98962329683212, -0.2838988339308567, -0.2865087113456364], encoded_infidelity:9.62991535513602e-05, benchmark_infidelity:6.832816278679044e-05, diff:2.797099076456977e-05, ratio:1.4093625472098492
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998853246513818, 3, 8.999913339091231], meas_params:[-0.2809192570459105, -0.28051963543643577], noise_params:[0.00015000000000000001, 1e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998853246513818, 8.999913339091231, -0.2809192570459105, -0.28051963543643577], encoded_infidelity:5.942453254315083e-05, benchmark_infidelity:5.1663725121664505e-05, diff:7.760807421486327e-06, ratio:1.1502177282650479
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.99815287733281, 3, 8.997429288255766], meas_params:[-0.26942579303055436, -0.2768083180068952], noise_params:[0.000125, 1e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.99815287733281, 8.997429288255766, -0.26942579303055436, -0.2768083180068952], encoded_infidelity:4.520810331942737e-05, benchmark_infidelity:4.333127194655617e-05, diff:1.8768313728712016e-06, ratio:1.043313553665954
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.996209059477092, 3, 8.993622461341971], meas_params:[-0.27086190919539527, -0.2717285731694432], noise_params:[0.0001, 1.584893192461114e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.996209059477092, 8.993622461341971, -0.27086190919539527, -0.2717285731694432], encoded_infidelity:3.24126524539059e-05, benchmark_infidelity:3.5973429485469666e-05, diff:-3.5607770315637666e-06, ratio:0.9010164701421634
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999890675446295, 3, 8.771559611181925], meas_params:[-0.2787049571795923, -0.2881712523856982], noise_params:[0.0002, 1.584893192461114e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999890675446295, 8.771559611181925, -0.2787049571795923, -0.2881712523856982], encoded_infidelity:0.00010284898193202441, benchmark_infidelity:6.930288099782356e-05, diff:3.354610093420085e-05, ratio:1.484050597193129
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999699178832397, 3, 8.998053018065958], meas_params:[-0.2814894164914624, -0.2765473360859466], noise_params:[0.00015000000000000001, 1.584893192461114e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999699178832397, 8.998053018065958, -0.2814894164914624, -0.2765473360859466], encoded_infidelity:6.195177416146169e-05, benchmark_infidelity:5.2638467701537905e-05, diff:9.313306459923787e-06, ratio:1.1769296650641616
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999927100718676, 3, 8.998637672602865], meas_params:[-0.2752339762056075, -0.2789223044027569], noise_params:[0.000125, 1.584893192461114e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999927100718676, 8.998637672602865, -0.2752339762056075, -0.2789223044027569], encoded_infidelity:4.566167024366852e-05, benchmark_infidelity:4.4306026710017044e-05, diff:1.3556435336514738e-06, ratio:1.0305972716200476
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999818843175397, 3, 8.99454956324222], meas_params:[-0.27033862725465685, -0.27334967702044843], noise_params:[0.0001, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999818843175397, 8.99454956324222, -0.27033862725465685, -0.27334967702044843], encoded_infidelity:3.4060355326936964e-05, benchmark_infidelity:3.751832514664599e-05, diff:-3.457969819709028e-06, ratio:0.90783251101447
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999677393343259, 3, 8.983946660349599], meas_params:[-0.2826200596077961, -0.28559927144805664], noise_params:[0.0002, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999677393343259, 8.983946660349599, -0.2826200596077961, -0.28559927144805664], encoded_infidelity:0.0001033249279367432, benchmark_infidelity:7.084769941634317e-05, diff:3.2477228520400026e-05, ratio:1.4584090773300138
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998535026775794, 3, 8.998647049571165], meas_params:[-0.2771473377193493, -0.2796853479667295], noise_params:[0.00015000000000000001, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998535026775794, 8.998647049571165, -0.2771473377193493, -0.2796853479667295], encoded_infidelity:6.396798578600649e-05, benchmark_infidelity:5.418332474116383e-05, diff:9.784661044842657e-06, ratio:1.1805843604390174
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999563185408324, 3, 8.996127240305468], meas_params:[-0.2736829140705099, -0.27447049869311346], noise_params:[0.000125, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999563185408324, 8.996127240305468, -0.2736829140705099, -0.27447049869311346], encoded_infidelity:4.799155832257984e-05, benchmark_infidelity:4.5850903060640213e-05, diff:2.140655261939628e-06, ratio:1.046687308625274
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998440460555006, 3, 8.959618033650447], meas_params:[-0.2678914900127042, -0.2683496850171505], noise_params:[0.0001, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998440460555006, 8.959618033650447, -0.2678914900127042, -0.2683496850171505], encoded_infidelity:3.6985622828944464e-05, benchmark_infidelity:3.996680509621431e-05, diff:-2.981182267269844e-06, ratio:0.9254085419113918
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998424318211853, 3, 8.999690867349866], meas_params:[-0.27655450766309686, -0.28004534495851185], noise_params:[0.0002, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998424318211853, 8.999690867349866, -0.27655450766309686, -0.28004534495851185], encoded_infidelity:0.00011239077038494028, benchmark_infidelity:7.329605694472718e-05, diff:3.909471344021309e-05, ratio:1.5333808538936078
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.99935197187543, 3, 8.989631064674244], meas_params:[-0.2744843601215794, -0.27945657840542815], noise_params:[0.00015000000000000001, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.99935197187543, 8.989631064674244, -0.2744843601215794, -0.27945657840542815], encoded_infidelity:6.893287459652786e-05, benchmark_infidelity:5.663174347925182e-05, diff:1.2301131117276043e-05, ratio:1.2172126507421197
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999636492586518, 3, 8.999610719062058], meas_params:[-0.2708971119602983, -0.26832973900027346], noise_params:[0.000125, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999636492586518, 8.999610719062058, -0.2708971119602983, -0.26832973900027346], encoded_infidelity:5.264660378179187e-05, benchmark_infidelity:4.829935240424632e-05, diff:4.347251377545547e-06, ratio:1.090006411290172
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999121310278504, 3, 8.979819266484213], meas_params:[-0.26494627420794403, -0.26871568039167515], noise_params:[0.0001, 6.309573444801929e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.999121310278504, 8.979819266484213, -0.26494627420794403, -0.26871568039167515], encoded_infidelity:4.146924559034204e-05, benchmark_infidelity:4.384734745643826e-05, diff:-2.378101866096216e-06, ratio:0.9457640654669287
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.992804860074951, 3, 8.892692472299359], meas_params:[-0.2747735646385334, -0.2830506325504375], noise_params:[0.0002, 6.309573444801929e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.992804860074951, 8.892692472299359, -0.2747735646385334, -0.2830506325504375], encoded_infidelity:0.00012441257837503272, benchmark_infidelity:7.717640528293046e-05, diff:4.723617309210226e-05, ratio:1.6120545899868408
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.996496553371028, 3, 8.995196093299372], meas_params:[-0.27364307907984065, -0.2786251613668286], noise_params:[0.00015000000000000001, 6.309573444801929e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.996496553371028, 8.995196093299372, -0.27364307907984065, -0.2786251613668286], encoded_infidelity:7.728952524865829e-05, benchmark_infidelity:6.0512188827743785e-05, diff:1.67773364209145e-05, ratio:1.277255487628674
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.9990163556208, 3, 8.99221804844644], meas_params:[-0.27049417832832423, -0.2715981316562167], noise_params:[0.000125, 6.309573444801929e-05, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.9990163556208, 8.99221804844644, -0.27049417832832423, -0.2715981316562167], encoded_infidelity:5.822332678351305e-05, benchmark_infidelity:5.2179846257938145e-05, diff:6.043480525574907e-06, ratio:1.115820205672904
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.99721160515351, 3, 8.991773832267967], meas_params:[-0.25979827980883285, -0.26961037932415177], noise_params:[0.0001, 0.0001, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.99721160515351, 8.991773832267967, -0.25979827980883285, -0.26961037932415177], encoded_infidelity:4.9742506773142736e-05, benchmark_infidelity:4.99975000837205e-05, diff:-2.5499331057776686e-07, ratio:0.9948998787909239
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.998143897505269, 3, 8.561805307750571], meas_params:[-0.2761821704180527, -0.27834113862446186], noise_params:[0.0002, 0.0001, 1], init_params:[6, 8, -0.34906585039886584, -0.34906585039886584], optimal_params:[8.998143897505269, 8.561805307750571, -0.2761821704180527, -0.27834113862446186], encoded_infidelity:0.00015083292487139133, benchmark_infidelity:8.332625040952113e-05, diff:6.75066744618702e-05, ratio:1.810148952222104
