scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.653110312989308, 3, 6.915615733663501], meas_params:[-0.12171482423467045, -0.2834603450470512], noise_params:[0.0005, 0.0001, 24.11363702259424], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.653110312989308, 6.915615733663501, -0.12171482423467045, -0.2834603450470512, 24.11363702259424], encoded_infidelity:0.00495844442345128, benchmark_infidelity:0.004400067068358382, diff:0.0005583773550928983, ratio:1.1269020099962301
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.420995901733476, 3, 6.739089248956191], meas_params:[-0.11507974663440318, -0.2863685023816098], noise_params:[0.0006, 0.0001, 27.24838772289778], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.420995901733476, 6.739089248956191, -0.11507974663440318, -0.2863685023816098, 27.24838772289778], encoded_infidelity:0.007384144766528711, benchmark_infidelity:0.005866553211756886, diff:0.0015175915547718244, ratio:1.2586853813463228
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.268039478250348, 3, 6.514319562194365], meas_params:[-0.11269806758966114, -0.28473501469926327], noise_params:[0.0007, 0.0001, 27.53881492916738], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.268039478250348, 6.514319562194365, -0.11269806758966114, -0.28473501469926327, 27.53881492916738], encoded_infidelity:0.009391674465265343, benchmark_infidelity:0.006833784742037885, diff:0.0025578897232274578, ratio:1.3743005991237407
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.094093953589713, 3, 6.371613901024215], meas_params:[-0.10977463094902629, -0.28697556102445365], noise_params:[0.0008, 0.0001, 30.040293384070836], init_params:[4, 7, -0.1, -0.3, 20], optimal_params:[4.094093953589713, 6.371613901024215, -0.10977463094902629, -0.28697556102445365, 30.040293384070836], encoded_infidelity:0.012427163175204092, benchmark_infidelity:0.008433350804981976, diff:0.003993812370222116, ratio:1.473573608234438
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.156573008645795, 3, 7.558594494650871], meas_params:[-0.1248342487480463, -0.28514491955114585], noise_params:[0.0003, 0.0001, 24.593861680981068], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[5.156573008645795, 7.558594494650871, -0.1248342487480463, -0.28514491955114585, 24.593861680981068], encoded_infidelity:0.0022494024654466926, benchmark_infidelity:0.0028607327802951943, diff:-0.0006113303148485016, ratio:0.7863028944683819
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.543627134434356, 3, 8.026664953076454], meas_params:[-0.1265606988290307, -0.28618393865114344], noise_params:[0.0002, 0.0001, 24.458355005399532], init_params:[5.5, 8, -0.1, -0.3, 27], optimal_params:[5.543627134434356, 8.026664953076454, -0.1265606988290307, -0.28618393865114344, 24.458355005399532], encoded_infidelity:0.001151340038374804, benchmark_infidelity:0.0020339649098812806, diff:-0.0008826248715064766, ratio:0.5660569819968064
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.231183843508316, 3, 8.777862888115184], meas_params:[-0.12895334600047692, -0.28634710332760127], noise_params:[0.0001, 0.0001, 24.77920051117356], init_params:[6, 8.5, -0.1, -0.3, 30], optimal_params:[6.231183843508316, 8.777862888115184, -0.12895334600047692, -0.28634710332760127, 24.77920051117356], encoded_infidelity:0.0003635868169222789, benchmark_infidelity:0.00123742627071588, diff:-0.0008738394537936012, ratio:0.2938250346923178
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.079776633496749, 3, 7.1807150332044145], meas_params:[-0.12112130014088199, -0.2800885699751239], noise_params:[0.0004, 0.00015848931924611142, 20.950115709448383], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[5.079776633496749, 7.1807150332044145, -0.12112130014088199, -0.2800885699751239, 20.950115709448383], encoded_infidelity:0.00353938531921294, benchmark_infidelity:0.003335214857307811, diff:0.00020417046190512878, ratio:1.0612165844301664
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.831429561095238, 3, 6.922925212092917], meas_params:[-0.1185452464934185, -0.28033747319593755], noise_params:[0.0005, 0.00015848931924611142, 21.958799389861838], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.831429561095238, 6.922925212092917, -0.1185452464934185, -0.28033747319593755, 21.958799389861838], encoded_infidelity:0.005194519862513403, benchmark_infidelity:0.0042211394022823034, diff:0.0009733804602310991, ratio:1.2305966156210828
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.6192858653020465, 3, 6.683238443041425], meas_params:[-0.1158059079009276, -0.28027968778507073], noise_params:[0.0006, 0.00015848931924611142, 22.83003399244442], init_params:[5, 8, -0.1, -0.3, 20], optimal_params:[4.6192858653020465, 6.683238443041425, -0.1158059079009276, -0.28027968778507073, 22.83003399244442], encoded_infidelity:0.007067295686802866, benchmark_infidelity:0.005141036394454512, diff:0.0019262592923483535, ratio:1.374683068656381
