scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.548753000361262, 4, 8.967183512732467], meas_params:[-0.0908701500698333, -0.17532533338180467], noise_params:[0.0004, 0.0001, 7.811735413609105], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.548753000361262, 8.967183512732467, -0.0908701500698333, -0.17532533338180467, 7.811735413609105], encoded_infidelity:0.0014111305717979606, benchmark_infidelity:0.00117031227119746, diff:0.0002408183006005005, ratio:1.2057726869377314
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.225436496376865, 4, 7.16370160367922], meas_params:[-0.05196258223710136, -0.10815408696819431], noise_params:[0.00030000000000000003, 0.0001, 6.115064916397749], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.225436496376865, 7.16370160367922, -0.05196258223710136, -0.10815408696819431, 6.115064916397749], encoded_infidelity:0.0007275228033054287, benchmark_infidelity:0.000712894764665406, diff:1.4628038640022642e-05, ratio:1.0205192117617643
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.366127734467787, 4, 8.237100779636474], meas_params:[-0.07470830393470607, -0.14900495328494098], noise_params:[0.00030000000000000003, 0.0001, 9.975330030629543], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.366127734467787, 8.237100779636474, -0.07470830393470607, -0.14900495328494098, 9.975330030629543], encoded_infidelity:0.001051493048873051, benchmark_infidelity:0.0011623800029587628, diff:-0.00011088695408571184, ratio:0.9046035256943028
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.177533666401494, 4, 8.083835283726074], meas_params:[-0.06553153901081839, -0.14367027116186926], noise_params:[0.00030000000000000003, 0.0001, 8.37035260862603], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.177533666401494, 8.083835283726074, -0.06553153901081839, -0.14367027116186926, 8.37035260862603], encoded_infidelity:0.0008772375689529564, benchmark_infidelity:0.0009755492813973143, diff:-9.831171244435797e-05, ratio:0.899224248001554
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.770570679293227, 4, 8.91809070115357], meas_params:[-0.09387752398135739, -0.1686883925219259], noise_params:[0.00030000000000000003, 0.0001, 7.888372614850722], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[6.770570679293227, 8.91809070115357, -0.09387752398135739, -0.1686883925219259, 7.888372614850722], encoded_infidelity:0.0008223033303512486, benchmark_infidelity:0.0009194291834212498, diff:-9.712585307000124e-05, ratio:0.8943628777274719
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.378963552545079, 4, 7.537118428258974], meas_params:[-0.06807498793822846, -0.12418385276246025], noise_params:[0.00035000000000000005, 0.0001, 5.721439354085113], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.378963552545079, 7.537118428258974, -0.06807498793822846, -0.12418385276246025, 5.721439354085113], encoded_infidelity:0.0008069507111161376, benchmark_infidelity:0.000762248553074607, diff:4.470215804153058e-05, ratio:1.0586451202317406
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.367307125139906, 4, 8.036611411139486], meas_params:[-0.07983484318044698, -0.14507229791644582], noise_params:[0.00035000000000000005, 0.0001, 8.423298266229473], init_params:[3, 8, -0.2, -0.2, 7], optimal_params:[6.367307125139906, 8.036611411139486, -0.07983484318044698, -0.14507229791644582, 8.423298266229473], encoded_infidelity:0.001142294759456206, benchmark_infidelity:0.001121784566474493, diff:2.0510192981712918e-05, ratio:1.018283539990367
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.430094376333146, 4, 8.298555403258803], meas_params:[-0.07346272618324572, -0.15344530360672126], noise_params:[0.00035000000000000005, 0.0001, 7.925873747102753], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[6.430094376333146, 8.298555403258803, -0.07346272618324572, -0.15344530360672126, 7.925873747102753], encoded_infidelity:0.0010804728897413549, benchmark_infidelity:0.0010556127523354553, diff:2.4860137405899622e-05, ratio:1.0235504330076524
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.855582559843294, 4, 8.917446743246801], meas_params:[-0.06576743619804976, -0.18386099248344795], noise_params:[0.00035000000000000005, 0.0001, 15.6790555895435], init_params:[5, 8, -0.2, -0.2, 15], optimal_params:[5.855582559843294, 8.917446743246801, -0.06576743619804976, -0.18386099248344795, 15.6790555895435], encoded_infidelity:0.00256502153979647, benchmark_infidelity:0.002085964009353014, diff:0.00047905753044345583, ratio:1.2296576203115035
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.98576524957679, 4, 8.40162687473078], meas_params:[-0.043352164371535135, -0.13379483472281817], noise_params:[0.0001, 0.00015848931924611142, 17.0130406342846], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.98576524957679, 8.40162687473078, -0.043352164371535135, -0.13379483472281817, 17.0130406342846], encoded_infidelity:0.0004300795102982031, benchmark_infidelity:0.0010154525969868766, diff:-0.0005853730866886735, ratio:0.4235347977585224
