scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.634604363824424, 2, 8.2165011829465], meas_params:[-0.06987638116454241, -0.2883464290874942], noise_params:[0, 0.0002, 16.98989815111277], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[7.634604363824424, 8.2165011829465, -0.06987638116454241, -0.2883464290874942, 16.98989815111277], encoded_infidelity:1.6493473253831326e-12, benchmark_infidelity:0.0005658491163140766, diff:-0.0005658491146647293, ratio:2.9148182401113026e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.652125835647081, 2, 7.4955661463935765], meas_params:[-0.015923372746978748, -0.07142004050349363], noise_params:[0, 0.0004, 8.198898927729708], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[6.652125835647081, 7.4955661463935765, -0.015923372746978748, -0.07142004050349363, 8.198898927729708], encoded_infidelity:1.5875079029115113e-12, benchmark_infidelity:0.0005461453604116429, diff:-0.000546145358824135, ratio:2.906749773933754e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 6.936559189512362, 2, 8.201902033444494], meas_params:[0.01286050841546107, -0.08369814292349365], noise_params:[0, 0.0004, 10.635036668171615], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[6.936559189512362, 8.201902033444494, 0.01286050841546107, -0.08369814292349365, 10.635036668171615], encoded_infidelity:1.4380718837969653e-12, benchmark_infidelity:0.0007082489521678115, diff:-0.0007082489507297396, ratio:2.030461011478109e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.235416659379823, 2, 7.983852710093194], meas_params:[-0.05504673107874043, -0.11481798932601486], noise_params:[0, 0.0004, 11.962678028892391], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.235416659379823, 7.983852710093194, -0.05504673107874043, -0.11481798932601486, 11.962678028892391], encoded_infidelity:1.8077761509971424e-12, benchmark_infidelity:0.0007965585912234063, diff:-0.0007965585894156302, ratio:2.2694829619760206e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.235307889283892, 2, 8.196132950019084], meas_params:[0.0022231296521710913, -0.25983592673313705], noise_params:[0, 0.0004, 18.018731063378453], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.235307889283892, 8.196132950019084, 0.0022231296521710913, -0.25983592673313705, 18.018731063378453], encoded_infidelity:5.555000903711971e-12, benchmark_infidelity:0.0011990868375244546, diff:-0.0011990868319694536, ratio:4.632692754079773e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 7.780605413568997, 2, 8.108989842383407], meas_params:[-0.0027037420922027865, -0.11252720562927836], noise_params:[0, 0.0008, 5.634261232487945], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[7.780605413568997, 8.108989842383407, -0.0027037420922027865, -0.11252720562927836, 5.634261232487945], encoded_infidelity:2.989941627618009e-12, benchmark_infidelity:0.0007503889359264937, diff:-0.0007503889329365521, ratio:3.98452253820397e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.43249304026929, 2, 7.644972640994217], meas_params:[0.0018452472665846883, -0.0051238722374879996], noise_params:[0, 0.0008, 9.344623067681567], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[8.43249304026929, 7.644972640994217, 0.0018452472665846883, -0.0051238722374879996, 9.344623067681567], encoded_infidelity:7.287415115797558e-11, benchmark_infidelity:0.001243624054809156, diff:-0.0012436239819350048, ratio:5.8598216137881554e-08
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.19513681349406, 2, 7.775600296708172], meas_params:[-0.04348107386888829, -0.1620832519984121], noise_params:[0, 0.0008, 4.770789434089055], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[8.19513681349406, 7.775600296708172, -0.04348107386888829, -0.1620832519984121, 4.770789434089055], encoded_infidelity:2.7107205369247822e-12, benchmark_infidelity:0.000635498698927095, diff:-0.0006354986962163744, ratio:4.265501316527099e-09
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.727519050144018, 2, 7.613058755440038], meas_params:[0.003128577748897127, -0.28545572731596114], noise_params:[0, 0.0008, 13.585600751536912], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[8.727519050144018, 7.613058755440038, 0.003128577748897127, -0.28545572731596114, 13.585600751536912], encoded_infidelity:7.812191782363698e-09, benchmark_infidelity:0.0018065005089634711, diff:-0.0018064926967716888, ratio:4.3244891122926695e-06
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 8.418711521797695, 2, 8.531494174615997], meas_params:[-0.0073097130047635565, -0.16097002486448514], noise_params:[0, 0.0016, 2.627391427562993], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[8.418711521797695, 8.531494174615997, -0.0073097130047635565, -0.16097002486448514, 2.627391427562993], encoded_infidelity:2.0556212287914377e-10, benchmark_infidelity:0.0006999018898442566, diff:-0.0006999016842821337, ratio:2.937013399476401e-07
