scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.61110368625126, 1, 8.238799001660396], meas_params:[-0.13079349020791112, 0.0004605280729839793], noise_params:[0.0004, 0.00015848931924611142, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[5.61110368625126, 8.238799001660396, -0.13079349020791112, 0.0004605280729839793], encoded_infidelity:0.00014535115575908808, benchmark_infidelity:0.00015972189326485253, diff:-1.4370737505764453e-05, ratio:0.9100265016146863
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.1901595936152916, 1, 5.652849049583023], meas_params:[-0.1312408321565115, -0.00047204720657350013], noise_params:[0.0008, 0.00015848931924611142, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[5.1901595936152916, 5.652849049583023, -0.1312408321565115, -0.00047204720657350013], encoded_infidelity:0.0004399968015396105, benchmark_infidelity:0.0002929899609678266, diff:0.00014700684057178393, ratio:1.5017470226153136
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.367753372044506, 1, 7.662435354629063], meas_params:[-0.1311440761027874, -0.0003054490087860662], noise_params:[0.0006000000000000001, 0.00015848931924611142, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.367753372044506, 7.662435354629063, -0.1311440761027874, -0.0003054490087860662], encoded_infidelity:0.00027857725422830715, benchmark_infidelity:0.00022636092448513612, diff:5.221632974317103e-05, ratio:1.230677312623362
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.563963450075115, 1, 7.812174134315881], meas_params:[-0.12676006804308154, -0.0009408840948271903], noise_params:[0.0001, 0.00025118864315095795, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.563963450075115, 7.812174134315881, -0.12676006804308154, -0.0009408840948271903], encoded_infidelity:1.718970996311686e-05, benchmark_infidelity:7.519213529294522e-05, diff:-5.8002425329828355e-05, ratio:0.22861047762703526
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.141373200083472, 1, 7.8877288349158885], meas_params:[-0.12794947142455623, 0.00036795372681414334], noise_params:[0.0002, 0.00025118864315095795, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.141373200083472, 7.8877288349158885, -0.12794947142455623, 0.00036795372681414334], encoded_infidelity:5.29794808041828e-05, benchmark_infidelity:0.00010851962591862385, diff:-5.554014511444105e-05, ratio:0.48820183773864817
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.708113382924131, 1, 4.982663064690096], meas_params:[-0.1289486609539584, 0.0018050701395644448], noise_params:[0.0004, 0.00025118864315095795, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[5.708113382924131, 4.982663064690096, -0.1289486609539584, 0.0018050701395644448], encoded_infidelity:0.00016067212353121363, benchmark_infidelity:0.0001751671089431639, diff:-1.4494985411950267e-05, ratio:0.9172505300829426
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.258838142863492, 1, 8.118138261111614], meas_params:[-0.12947595069284845, 0.000299952137554883], noise_params:[0.0008, 0.00025118864315095795, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[5.258838142863492, 8.118138261111614, -0.12947595069284845, 0.000299952137554883], encoded_infidelity:0.0004781117420097347, benchmark_infidelity:0.0003084320879113145, diff:0.00016967965409842023, ratio:1.550136191235749
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.447609137565582, 1, 7.5708154929050515], meas_params:[-0.12934194598679413, -2.2963700445090604e-05], noise_params:[0.0006000000000000001, 0.00025118864315095795, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.447609137565582, 7.5708154929050515, -0.12934194598679413, -2.2963700445090604e-05], encoded_infidelity:0.0003048445109919973, benchmark_infidelity:0.00024180459571876423, diff:6.303991527323305e-05, ratio:1.2607060262268668
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.852806537863944, 1, 7.12511960234424], meas_params:[-0.12395519023572239, -0.0006884702461276006], noise_params:[0.0001, 0.00039810717055349735, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.852806537863944, 7.12511960234424, -0.12395519023572239, -0.0006884702461276006], encoded_infidelity:2.1674529341098037e-05, benchmark_infidelity:9.967335803029442e-05, diff:-7.799882868919639e-05, ratio:0.21745559464857545
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.360409145588136, 1, 8.349409307844226], meas_params:[-0.12513181884247299, 0.0010333646089362245], noise_params:[0.0002, 0.00039810717055349735, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[6.360409145588136, 8.349409307844226, -0.12513181884247299, 0.0010333646089362245], encoded_infidelity:6.453698931230267e-05, benchmark_infidelity:0.0001329996246255405, diff:-6.846263531323782e-05, ratio:0.48524189067454976
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.868065887555779, 1, 8.281344972776495], meas_params:[-0.1261637323349395, 0.0011867485422386525], noise_params:[0.0004, 0.00039810717055349735, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[5.868065887555779, 8.281344972776495, -0.1261637323349395, 0.0011867485422386525], encoded_infidelity:0.0001895495637072031, benchmark_infidelity:0.00019964465977262424, diff:-1.0095096065421139e-05, ratio:0.9494346802117398
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.369465825836368, 1, 5.602195744774644], meas_params:[-0.12675933933001848, 0.0063384432694395315], noise_params:[0.0008, 0.00039810717055349735, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[5.369465825836368, 5.602195744774644, -0.12675933933001848, 0.0063384432694395315], encoded_infidelity:0.000547396909880038, benchmark_infidelity:0.00033290474372060785, diff:0.00021449216615943012, ratio:1.6443049256740057
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.577502613047329, 1, 7.223333308831926], meas_params:[-0.1265860028386303, -0.0005666977130816952], noise_params:[0.0006000000000000001, 0.00039810717055349735, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[5.577502613047329, 7.223333308831926, -0.1265860028386303, -0.0005666977130816952], encoded_infidelity:0.00035330509803976895, benchmark_infidelity:0.0002662796989157945, diff:8.702539912397445e-05, ratio:1.3268195039964141
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 7.355381548513679, 1, 7.924045476753131], meas_params:[-0.11951289422718511, 0.0003475946832012536], noise_params:[0.0001, 0.000630957344480193, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[7.355381548513679, 7.924045476753131, -0.11951289422718511, 0.0003475946832012536], encoded_infidelity:3.242457204566396e-05, benchmark_infidelity:0.00013846979770948398, diff:-0.00010604522566382002, ratio:0.23416349689260185
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.729939836695108, 1, 8.119512690120699], meas_params:[-0.12072214070095892, 0.0005526036065685234], noise_params:[0.0002, 0.000630957344480193, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[6.729939836695108, 8.119512690120699, -0.12072214070095892, 0.0005526036065685234], encoded_infidelity:9.030825888800553e-05, benchmark_infidelity:0.00017179412453260934, diff:-8.14858656446038e-05, ratio:0.5256772263527764
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.129626961338232, 1, 8.320822060971377], meas_params:[-0.12180417915428593, -0.0015711200603187297], noise_params:[0.0004, 0.000630957344480193, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.129626961338232, 8.320822060971377, -0.12180417915428593, -0.0015711200603187297], encoded_infidelity:0.0002498114363268522, benchmark_infidelity:0.0002384352804223333, diff:1.1376155904518903e-05, ratio:1.0477117139895096
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.376347354914089, 1, 8.153850674034283], meas_params:[-0.12138080333140065, 0.00039028177070829967], noise_params:[0.00030000000000000003, 0.000630957344480193, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[6.376347354914089, 8.153850674034283, -0.12138080333140065, 0.00039028177070829967], encoded_infidelity:0.00016393890664778699, benchmark_infidelity:0.00020511595203343003, diff:-4.117704538564304e-05, ratio:0.7992499121719604
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.786082460538349, 1, 7.918762466632499], meas_params:[-0.12227212323422684, 0.00017944107612927757], noise_params:[0.0006, 0.000630957344480193, 1], init_params:[7, 8, -0.1, 0], optimal_params:[5.786082460538349, 7.918762466632499, -0.12227212323422684, 0.00017944107612927757], encoded_infidelity:0.000450824083059409, benchmark_infidelity:0.000305066440697388, diff:0.00014575764236202104, ratio:1.4777898284348032
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.189277715778957, 1, 7.348455047136308], meas_params:[-0.111691700249394, 0.00029708518515168846], noise_params:[0.0001, 0.001, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[8.189277715778957, 7.348455047136308, -0.111691700249394, 0.00029708518515168846], encoded_infidelity:6.574626793831584e-05, benchmark_infidelity:0.0001999487592696525, diff:-0.00013420249133133666, ratio:0.32881558344480594
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 7.321083819317001, 1, 8.28304198059873], meas_params:[-0.11318919412044598, 0.0009817979092480353], noise_params:[0.0002, 0.001, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[7.321083819317001, 8.28304198059873, -0.11318919412044598, 0.0009817979092480353], encoded_infidelity:0.0001604584964755018, benchmark_infidelity:0.00023327001222028798, diff:-7.281151574478617e-05, ratio:0.6878659410536371
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.531668458941601, 1, 6.283590782784438], meas_params:[-0.1144984077552977, 0.002852958679133939], noise_params:[0.0004, 0.001, 1], init_params:[8, 8, -0.34906585039886584, 0], optimal_params:[6.531668458941601, 6.283590782784438, -0.1144984077552977, 0.002852958679133939], encoded_infidelity:0.0003960388214102606, benchmark_infidelity:0.00029990502082977155, diff:9.613380058048904e-05, ratio:1.3205474863825482
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.8510026143759655, 1, 6.915976874355975], meas_params:[-0.11398736622174697, 0.00011091391090094034], noise_params:[0.00030000000000000003, 0.001, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[6.8510026143759655, 6.915976874355975, -0.11398736622174697, 0.00011091391090094034], encoded_infidelity:0.0002719525387105959, benchmark_infidelity:0.00026658876600427206, diff:5.363772706323822e-06, ratio:1.0201200252610714
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.291082838377473, 1, 7.8080669159983], meas_params:[-0.11484868874217313, 0.00014967505723543728], noise_params:[0.0005, 0.001, 1], init_params:[7, 8, -0.1, 0], optimal_params:[6.291082838377473, 7.8080669159983, -0.11484868874217313, 0.00014967505723543728], encoded_infidelity:0.0005303696553046189, benchmark_infidelity:0.0003332187769045092, diff:0.0001971508784001097, ratio:1.591655969185096
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.99999995601052, 1, 8.238187729566711], meas_params:[-0.09401148563398747, 9.496835564237262e-05], noise_params:[0.0001, 0.001584893192461114, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[8.99999995601052, 8.238187729566711, -0.09401148563398747, 9.496835564237262e-05], encoded_infidelity:0.00020558817688209885, benchmark_infidelity:0.0002973631126027554, diff:-9.177493572065654e-05, ratio:0.6913708128847245
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 7.985802885469942, 1, 8.281019195011506], meas_params:[-0.09797572876672256, 0.0009754919811493649], noise_params:[0.0002, 0.001584893192461114, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[7.985802885469942, 8.281019195011506, -0.09797572876672256, 0.0009754919811493649], encoded_infidelity:0.000402130175945814, benchmark_infidelity:0.00033067949495768634, diff:7.145068098812768e-05, ratio:1.2160723058962895
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.432597247989838, 1, 6.606717036563227], meas_params:[-0.0967557183258882, -0.0035994738753266824], noise_params:[0.00015000000000000001, 0.001584893192461114, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[8.432597247989838, 6.606717036563227, -0.0967557183258882, -0.0035994738753266824], encoded_infidelity:0.00030272790298147, benchmark_infidelity:0.00031402161615934343, diff:-1.1293713177873421e-05, ratio:0.9640352364400842
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 7.387254148721784, 1, 8.274691774428916], meas_params:[-0.09951977625278094, 0.0006543011534534567], noise_params:[0.0003, 0.001584893192461114, 1], init_params:[8, 8.5, -0.1, 0], optimal_params:[7.387254148721784, 8.274691774428916, -0.09951977625278094, 0.0006543011534534567], encoded_infidelity:0.0006070129147114356, benchmark_infidelity:0.0003639933783895488, diff:0.00024301953632188678, ratio:1.6676482341439882
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.263947644925818, 1, 7.512451525840775], meas_params:[-0.050205031590653995, 0.0016864993985180382], noise_params:[0.0001, 0.0025118864315095794, 1], init_params:[5, 8, -0.34906585039886584, 0], optimal_params:[8.263947644925818, 7.512451525840775, -0.050205031590653995, 0.0016864993985180382], encoded_infidelity:0.000778790078826197, benchmark_infidelity:0.00045169611436224333, diff:0.00032709396446395367, ratio:1.7241460664893755
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.862275494474977, 1, 7.192060832733823], meas_params:[-0.03994736153711925, 0.0008041236141012216], noise_params:[5e-05, 0.0025118864315095794, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[8.862275494474977, 7.192060832733823, -0.03994736153711925, 0.0008041236141012216], encoded_infidelity:0.0004941585662389114, benchmark_infidelity:0.00043504084439704993, diff:5.911772184186148e-05, ratio:1.135890049413168
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999998205699868, 1, 8.221979506665587], meas_params:[-0.02687344068755713, -0.0010998467455972257], noise_params:[2.5e-05, 0.0025118864315095794, 1], init_params:[5, 8, -0.11635528346628861, 0], optimal_params:[8.999998205699868, 8.221979506665587, -0.02687344068755713, -0.0010998467455972257], encoded_infidelity:0.0003224172462044095, benchmark_infidelity:0.00042671297514906836, diff:-0.00010429572894465888, ratio:0.7555834131637921
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 8.999998026732225, 1, 8.425140091352816], meas_params:[-0.03489664502281338, 0.001426431367984861], noise_params:[3.7500000000000003e-05, 0.0025118864315095794, 1], init_params:[8, 8, -0.11635528346628861, 0], optimal_params:[8.999998026732225, 8.425140091352816, -0.03489664502281338, 0.001426431367984861], encoded_infidelity:0.0004119368184086758, benchmark_infidelity:0.0004308769292956649, diff:-1.8940110886989103e-05, ratio:0.9560428753566601
