scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.457191621244033, 1, 9], meas_params:[-0.04468358482958888, 0], noise_params:[0.0004, 0, 36.847107896666415], init_params:[2.5, -0.39269908169872414, 10], optimal_params:[2.457191621244033, -0.04468358482958888, 36.847107896666415], encoded_infidelity:0.004969810006863695, benchmark_infidelity:0.004885904337282976, diff:8.390566958071943e-05, ratio:1.0171730070399576
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.2349373743878056, 1, 9], meas_params:[-0.03179592142723017, 0], noise_params:[0.0008, 0, 34.42804494793887], init_params:[2.5, -0.39269908169872414, 10], optimal_params:[2.2349373743878056, -0.03179592142723017, 34.42804494793887], encoded_infidelity:0.011058516274173535, benchmark_infidelity:0.00908670975317849, diff:0.0019718065209950453, ratio:1.216998955018379
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 1.917948839482833, 1, 9], meas_params:[-0.01741614735933756, 0], noise_params:[0.0016, 0, 39.11977219446213], init_params:[2, -0.39269908169872414, 10], optimal_params:[1.917948839482833, -0.01741614735933756, 39.11977219446213], encoded_infidelity:0.028751934828588066, benchmark_infidelity:0.020382560339031297, diff:0.008369374489556769, ratio:1.4106144836735723
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 1.7419365822903021, 1, 9], meas_params:[-0.017003709953801682, 0], noise_params:[0.0032, 0, 28.49538316258601], init_params:[5, -0.39269908169872414, 10], optimal_params:[1.7419365822903021, -0.017003709953801682, 28.49538316258601], encoded_infidelity:0.04572161551451437, benchmark_infidelity:0.029381527002885655, diff:0.016340088511628714, ratio:1.5561347614786631
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 4.5122913952664625, 1, 9], meas_params:[-0.2890512029057636, 0], noise_params:[0.0001, 0, 4.9125022620075605], init_params:[4.5, -0.39269908169872414, 8], optimal_params:[4.5122913952664625, -0.2890512029057636, 4.9125022620075605], encoded_infidelity:9.232862018071497e-05, benchmark_infidelity:0.00016371991366803673, diff:-7.139129348732176e-05, ratio:0.5639425169006818
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.6132681641090647, 1, 9], meas_params:[-0.04927228423918592, 0], noise_params:[0.0002, 0, 46.6928838950375], init_params:[3, -0.39269908169872414, 60], optimal_params:[2.6132681641090647, -0.04927228423918592, 46.6928838950375], encoded_infidelity:0.002571201271151402, benchmark_infidelity:0.003101986018049896, diff:-0.0005307847468984939, ratio:0.8288887365030166
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.4262774819358004, 1, 9], meas_params:[-0.03947104284118895, 0], noise_params:[0.0004, 0, 39.832959020223846], init_params:[2.5, -0.39269908169872414, 50], optimal_params:[2.4262774819358004, -0.03947104284118895, 39.832959020223846], encoded_infidelity:0.005364149556551623, benchmark_infidelity:0.005279467856103337, diff:8.468170044828582e-05, ratio:1.016039817412732
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 2.5983634997266387, 1, 9], meas_params:[-0.044855100704288296, 0], noise_params:[0.0008, 0, -1.8697353671162489], init_params:[2, -0.39269908169872414, 100], optimal_params:[2.357449879355764, -0.02608082789840689, 23.840138652130108], encoded_infidelity:0.007940765055150512, benchmark_infidelity:0.0063121419820912905, diff:0.001628623073059221, ratio:1.2580143282074334
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[2, 1.9129970571492048, 1, 9], meas_params:[-0.016456972408184584, 0], noise_params:[0.0016, 0, 39.54792805958468], init_params:[2, -0.39269908169872414, 60], optimal_params:[1.9129970571492048, -0.016456972408184584, 39.54792805958468], encoded_infidelity:0.02905898518999661, benchmark_infidelity:0.020600409260052577, diff:0.008458575929944034, ratio:1.4106023246026738
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 3.0662939456578515, 1, 9], meas_params:[-0.014124788784030224, 0], noise_params:[0.0048, 0, 20.832270660094117], init_params:[4, -0.2945243112740431, 12], optimal_params:[3.0662939456578515, -0.014124788784030224, 20.832270660094117], encoded_infidelity:0.03644966604216415, benchmark_infidelity:0.03211571091005805, diff:0.004333955132106104, ratio:1.1349481300365296
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[4, 3.0597750704177598, 1, 9], meas_params:[-0.018300968799153203, 0], noise_params:[0.0064, 0, 15.622911022601635], init_params:[4, -0.2945243112740431, 12], optimal_params:[3.0597750704177598, -0.018300968799153203, 15.622911022601635], encoded_infidelity:0.039599979025098264, benchmark_infidelity:0.032113153039410425, diff:0.007486825985687839, ratio:1.2331389252403753
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.99932654804618, 1, 9], meas_params:[-0.04601189059866953, 0], noise_params:[0.0001, 0, 14.134894065755155], init_params:[9, -0.25132741228718347, 8], optimal_params:[8.99932654804618, -0.04601189059866953, 14.134894065755155], encoded_infidelity:3.2141112352723766e-06, benchmark_infidelity:0.00047091348951455725, diff:-0.00046769937827928487, ratio:0.006825268986423927
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.993113343865229, 1, 9], meas_params:[-0.057148022707643624, 0], noise_params:[0.0002, 0, 11.946037210579334], init_params:[9, -0.25132741228718347, 8], optimal_params:[8.993113343865229, -0.057148022707643624, 11.946037210579334], encoded_infidelity:1.0701979613614299e-05, benchmark_infidelity:0.000795689414979317, diff:-0.0007849874353657027, ratio:0.013449945936370769
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.999595197602705, 1, 9], meas_params:[-0.07020219935069741, 0], noise_params:[0.0004, 0, 7.030223073622215], init_params:[9, -0.25132741228718347, 8], optimal_params:[8.999595197602705, -0.07020219935069741, 7.030223073622215], encoded_infidelity:3.321545870582643e-05, benchmark_infidelity:0.0009363753674030972, diff:-0.0009031599086972708, ratio:0.03547237556872597
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 8.22900362447745, 1, 9], meas_params:[-0.06946794842600326, 0], noise_params:[0.0008, 0, 5.635251312173663], init_params:[8.5, -0.25132741228718347, 6], optimal_params:[8.22900362447745, -0.06946794842600326, 5.635251312173663], encoded_infidelity:0.00016005343214009482, benchmark_infidelity:0.0015001963768271898, diff:-0.001340142944687095, ratio:0.10668832068412044
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 6.939339536436707, 1, 9], meas_params:[-0.05693874782255556, 0], noise_params:[0.0016, 0, 5.879001049107263], init_params:[8.5, -0.25132741228718347, 6], optimal_params:[6.939339536436707, -0.05693874782255556, 5.879001049107263], encoded_infidelity:0.0008912776102859565, benchmark_infidelity:0.003124436014753762, diff:-0.0022331584044678054, ratio:0.2852603177268773
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 5.7072237398166, 1, 9], meas_params:[-0.04671689092047018, 0], noise_params:[0.0032, 0, 6.6247376500482655], init_params:[8, -0.25132741228718347, 6], optimal_params:[5.7072237398166, -0.04671689092047018, 6.6247376500482655], encoded_infidelity:0.0045360422335470885, benchmark_infidelity:0.00701054050301142, diff:-0.0024744982694643314, ratio:0.6470317419318246
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, code_params:[5, 5.082336703099555, 1, 9], meas_params:[-0.040689709480839026, 0], noise_params:[0.0048, 0, 6.894835805819447], init_params:[7, -0.25132741228718347, 6], optimal_params:[5.082336703099555, -0.040689709480839026, 6.894835805819447], encoded_infidelity:0.010459155015907995, benchmark_infidelity:0.010896074988406723, diff:-0.00043691997249872827, ratio:0.9599011595493234
