scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.514855994974775, 2, 5.2587996757464275], meas_params:[-0.32900836547404744, -0.3234067580411768], noise_params:[6.25e-05, 1.584893192461114e-05, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.514855994974775, 5.2587996757464275, -0.32900836547404744, -0.3234067580411768], encoded_infidelity:2.3568758404479695e-05, benchmark_infidelity:2.3474240703369453e-05, diff:9.45177011102416e-08, ratio:1.0040264433812625
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.325408719112874, 2, 5.062184100798898], meas_params:[-0.32883551988684023, -0.3235537795651585], noise_params:[0.0001, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.325408719112874, 5.062184100798898, -0.32883551988684023, -0.3235537795651585], encoded_infidelity:5.275571506968557e-05, benchmark_infidelity:3.751832514664599e-05, diff:1.523738992303958e-05, ratio:1.4061319332214848
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.619186504057969, 2, 5.363270204071057], meas_params:[-0.32874198436638513, -0.3238085146009061], noise_params:[5e-05, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.619186504057969, 5.363270204071057, -0.32874198436638513, -0.3238085146009061], encoded_infidelity:1.619033035105133e-05, benchmark_infidelity:2.0852700607143504e-05, diff:-4.662370256092174e-06, ratio:0.7764140796950306
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.448793592633263, 2, 5.188720423771963], meas_params:[-0.32880856313505724, -0.3236791397392953], noise_params:[7.500000000000001e-05, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.448793592633263, 5.188720423771963, -0.32880856313505724, -0.3236791397392953], encoded_infidelity:3.238915619652172e-05, benchmark_infidelity:2.9185590996738675e-05, diff:3.2035651997830428e-06, ratio:1.1097653016565956
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.526010923891771, 2, 5.267660435634573], meas_params:[-0.32878919999634126, -0.3237205241734167], noise_params:[6.25e-05, 2.5118864315095822e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.526010923891771, 5.267660435634573, -0.32878919999634126, -0.3237205241734167], encoded_infidelity:2.3732126336994952e-05, benchmark_infidelity:2.5019165331929827e-05, diff:-1.2870389949348748e-06, ratio:0.9485578764175503
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.338682729892511, 2, 5.071155811658512], meas_params:[-0.32881198232796344, -0.3235749716203604], noise_params:[0.0001, 3.9810717055349695e-05, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.338682729892511, 5.071155811658512, -0.32881198232796344, -0.3235749716203604], encoded_infidelity:5.329053054092814e-05, benchmark_infidelity:3.996680509621431e-05, diff:1.332372544471383e-05, ratio:1.333369790570922
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.635373888033465, 2, 5.374832790500386], meas_params:[-0.3287761665552551, -0.3238273135788269], noise_params:[5e-05, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.635373888033465, 5.374832790500386, -0.3287761665552551, -0.3238273135788269], encoded_infidelity:1.6377222548213943e-05, benchmark_infidelity:2.3301241769413394e-05, diff:-6.924019221199451e-06, ratio:0.7028476297650225
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.463124265493748, 2, 5.198480752182737], meas_params:[-0.32878363788481163, -0.3236897103315397], noise_params:[7.500000000000001e-05, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.463124265493748, 5.198480752182737, -0.32878363788481163, -0.3236897103315397], encoded_infidelity:3.273630781475134e-05, benchmark_infidelity:3.163410155215818e-05, diff:1.102206262593164e-06, ratio:1.0348423444483117
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.540982536262906, 2, 5.27812631683889], meas_params:[-0.3287519300518904, -0.32375614147598875], noise_params:[6.25e-05, 3.9810717055349695e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.540982536262906, 5.27812631683889, -0.3287519300518904, -0.32375614147598875], encoded_infidelity:2.399526981111677e-05, benchmark_infidelity:2.746769119055248e-05, diff:-3.4724213794357084e-06, ratio:0.8735816070107105
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.359114461178039, 2, 5.084624356049082], meas_params:[-0.32873860929900534, -0.32357112442242775], noise_params:[0.0001, 6.309573444801929e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.359114461178039, 5.084624356049082, -0.32873860929900534, -0.32357112442242775], encoded_infidelity:5.415534463215632e-05, benchmark_infidelity:4.384734745643826e-05, diff:1.0307997175718064e-05, ratio:1.2350882726933237
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.660866292741424, 2, 5.391995199669257], meas_params:[-0.3286842083215917, -0.32385551740344987], noise_params:[5e-05, 6.309573444801929e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.660866292741424, 5.391995199669257, -0.3286842083215917, -0.32385551740344987], encoded_infidelity:1.6680347816655505e-05, benchmark_infidelity:2.7181881144922038e-05, diff:-1.0501533328266532e-05, ratio:0.6136568594249641
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.485803768569286, 2, 5.2138567187306215], meas_params:[-0.32873167106435225, -0.3236988797034873], noise_params:[7.500000000000001e-05, 6.309573444801929e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.485803768569286, 5.2138567187306215, -0.32873167106435225, -0.3236988797034873], encoded_infidelity:3.329837601306895e-05, benchmark_infidelity:3.551469241991345e-05, diff:-2.2163164068444985e-06, ratio:0.9375943797952819
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.418387689850545, 2, 5.145258437529103], meas_params:[-0.3287493943278311, -0.3236459844079614], noise_params:[8.750000000000001e-05, 6.309573444801929e-05, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.418387689850545, 5.145258437529103, -0.3287493943278311, -0.3236459844079614], encoded_infidelity:4.323115336379857e-05, benchmark_infidelity:3.968103946805357e-05, diff:3.5501138957449996e-06, ratio:1.0894662524806873
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.393061551295418, 2, 5.107722634294639], meas_params:[-0.3286689541796564, -0.32359061869812095], noise_params:[0.0001, 0.0001, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.393061551295418, 5.107722634294639, -0.3286689541796564, -0.32359061869812095], encoded_infidelity:5.5570453410092036e-05, benchmark_infidelity:4.99975000837205e-05, diff:5.5729533263715325e-06, ratio:1.1114646395727719
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.702344727848012, 2, 5.420295151946119], meas_params:[-0.3286070627168367, -0.3238948388092101], noise_params:[5e-05, 0.0001, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.702344727848012, 5.420295151946119, -0.3286070627168367, -0.3238948388092101], encoded_infidelity:1.71788529913508e-05, benchmark_infidelity:3.3332187527101986e-05, diff:-1.6153334535751185e-05, ratio:0.5153833056226175
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.522864945887175, 2, 5.23880957616484], meas_params:[-0.3286644342561147, -0.32371856196709753], noise_params:[7.500000000000001e-05, 0.0001, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.522864945887175, 5.23880957616484, -0.3286644342561147, -0.32371856196709753], encoded_infidelity:3.422000691077898e-05, benchmark_infidelity:4.166492192414495e-05, diff:-7.444915013365971e-06, ratio:0.821314557437065
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.453475062714157, 2, 5.1688083698796765], meas_params:[-0.32866019696556426, -0.3236609957180995], noise_params:[8.750000000000001e-05, 0.0001, 1], init_params:[4, 8, -0.39269908169872414, -0.1308996938995747], optimal_params:[5.453475062714157, 5.1688083698796765, -0.32866019696556426, -0.3236609957180995], encoded_infidelity:4.4391775755325824e-05, benchmark_infidelity:4.583123053325533e-05, diff:-1.4394547779295053e-06, ratio:0.9685922729723561
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.207198245589172, 2, 4.919223850378386], meas_params:[-0.3286627894555066, -0.32333923042645557], noise_params:[0.00015, 0.0001, 1], init_params:[5, 5, -0.3, -0.3], optimal_params:[5.207198245589172, 4.919223850378386, -0.3286627894555066, -0.32333923042645557], encoded_infidelity:0.0001093464055781368, benchmark_infidelity:6.666218770234877e-05, diff:4.268421787578802e-05, ratio:1.6403062867719849
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 5.447337700844972, 2, 5.143937467059519], meas_params:[-0.3284968595462078, -0.3235970511263586], noise_params:[0.0001, 0.00015848931924611142, 1], init_params:[6, 8, -0.39269908169872414, -0.39269908169872414], optimal_params:[5.447337700844972, 5.143937467059519, -0.3284968595462078, -0.3235970511263586], encoded_infidelity:5.79306440502414e-05, benchmark_infidelity:5.974460265856241e-05, diff:-1.813958608321009e-06, ratio:0.9696381174599538
