scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.510353349350488, 2, 4.510353349350488], meas_params:[-0.3195122656187417, -0.3195122656187417], noise_params:[0.0001875, 0, 9.34055224959474], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.510353349350488, -0.3195122656187417, 9.34055224959474], encoded_infidelity:0.0004726145769229362, benchmark_infidelity:0.0005834012971420721, diff:-0.00011078672021913594, ratio:0.8101020330913719
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.623171500964709, 2, 4.623171500964709], meas_params:[-0.3208119677392912, -0.3208119677392912], noise_params:[0.0001875, 0, 7.332464840945937], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.623171500964709, -0.3208119677392912, 7.332464840945937], encoded_infidelity:0.0003658293554348324, benchmark_infidelity:0.00045804287061201876, diff:-9.221351517718634e-05, ratio:0.7986792916261871
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.6173439113520125, 2, 4.6173439113520125], meas_params:[-0.3211251312972788, -0.3211251312972788], noise_params:[0.0001875, 0, 7.254577643486504], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.6173439113520125, -0.3211251312972788, 7.254577643486504], encoded_infidelity:0.00036192728201545066, benchmark_infidelity:0.0004531799107466705, diff:-9.125262873121986e-05, ratio:0.7986392896788612
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.43871388848784, 2, 4.43871388848784], meas_params:[-0.33685995121109724, -0.33685995121109724], noise_params:[0.0001875, 0, 12.69669482157876], init_params:[8, -0.39269908169872414, 20], optimal_params:[4.43871388848784, -0.33685995121109724, 12.69669482157876], encoded_infidelity:0.0007018216949403744, benchmark_infidelity:0.0007928354695035944, diff:-9.101377456322002e-05, ratio:0.8852047138857132
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.570936367109665, 2, 4.570936367109665], meas_params:[-0.32196313003678434, -0.32196313003678434], noise_params:[0.00019375000000000002, 0, 8.111187235064477], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.570936367109665, -0.32196313003678434, 8.111187235064477], encoded_infidelity:0.0004279915115819044, benchmark_infidelity:0.0005235389254121259, diff:-9.554741383022147e-05, ratio:0.8174970203886802
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.589891694180501, 2, 4.589891694180501], meas_params:[-0.3175814114496882, -0.3175814114496882], noise_params:[0.0002, 0, 7.517287994672763], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.589891694180501, -0.3175814114496882, 7.517287994672763], encoded_infidelity:0.00041700145446676995, benchmark_infidelity:0.0005008701028446083, diff:-8.386864837783836e-05, ratio:0.8325540935633404
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.594577090631394, 2, 4.594577090631394], meas_params:[-0.3211502749856264, -0.3211502749856264], noise_params:[0.0002, 0, 7.273491384000666], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.594577090631394, -0.3211502749856264, 7.273491384000666], encoded_infidelity:0.00040289457555464647, benchmark_infidelity:0.0004846350140678135, diff:-8.174043851316704e-05, ratio:0.8313360856305579
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.502934562853085, 2, 4.502934562853085], meas_params:[-0.31562812185193867, -0.31562812185193867], noise_params:[0.0002, 0, 7.381870956384457], init_params:[6, -0.39269908169872414, 15], optimal_params:[4.502934562853085, -0.31562812185193867, 7.381870956384457], encoded_infidelity:0.0004116309058784795, benchmark_infidelity:0.0004918523820318654, diff:-8.022147615338593e-05, ratio:0.8368992830288079
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.464685098771806, 2, 4.464685098771806], meas_params:[-0.31522426689167, -0.31522426689167], noise_params:[0.0002, 0, 7.311160132300314], init_params:[8, -0.39269908169872414, 20], optimal_params:[4.464685098771806, -0.31522426689167, 7.311160132300314], encoded_infidelity:0.0004110890955119073, benchmark_infidelity:0.0004871435186956097, diff:-7.605442318370237e-05, ratio:0.8438767626687347
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.387091079584716, 2, 4.387091079584716], meas_params:[-0.3147552478776038, -0.3147552478776038], noise_params:[0.0004, 0, 6.677223591543564], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.387091079584716, -0.3147552478776038, 6.677223591543564], encoded_infidelity:0.001139365609916787, benchmark_infidelity:0.000889405433746604, diff:0.00024996017617018307, ratio:1.2810418811106543
