scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.256798002504679, 1, 9], meas_params:[-0.027595619399483177, 0], noise_params:[0.0024000000000000002, 0.0001, 14.670483725883397], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.256798002504679, -0.027595619399483177, 14.670483725883397], encoded_infidelity:0.009941215990457698, benchmark_infidelity:0.011823083169976822, diff:-0.0018818671795191241, ratio:0.8408310968920628
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.027784033741602, 1, 9], meas_params:[-0.0144503320874423, 0], noise_params:[0.0024000000000000002, 0.0001, 19.089760651456743], init_params:[6, -0.2945243112740431, 15], optimal_params:[4.027784033741602, -0.0144503320874423, 19.089760651456743], encoded_infidelity:0.013786592360929691, benchmark_infidelity:0.015323540733608199, diff:-0.0015369483726785076, ratio:0.8997001803044377
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.59093125706978, 1, 9], meas_params:[-0.05088291751062737, 0], noise_params:[0.0028000000000000004, 0.0001, 7.774348113917505], init_params:[2, -0.2945243112740431, 5], optimal_params:[4.59093125706978, -0.05088291751062737, 7.774348113917505], encoded_infidelity:0.006723100432632949, benchmark_infidelity:0.007325327900744583, diff:-0.000602227468111634, ratio:0.9177883261648369
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 4.007595090111496, 1, 9], meas_params:[-0.03323642519510347, 0], noise_params:[0.0028000000000000004, 0.0001, 16.663376282481515], init_params:[4, -0.2945243112740431, 10], optimal_params:[4.007595090111496, -0.03323642519510347, 16.663376282481515], encoded_infidelity:0.014896257865916588, benchmark_infidelity:0.015555065808846025, diff:-0.0006588079429294368, ratio:0.9576467273732279
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 3.6908307811627106, 1, 9], meas_params:[-0.018808575320456627, 0], noise_params:[0.0028000000000000004, 0.0001, 23.127433670520176], init_params:[6, -0.2945243112740431, 15], optimal_params:[3.6908307811627106, -0.018808575320456627, 23.127433670520176], encoded_infidelity:0.02199295930325878, benchmark_infidelity:0.021443678318777692, diff:0.0005492809844810861, ratio:1.0256150542978484
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.001411077346081, 1, 9], meas_params:[0.0029554046895021446, 0], noise_params:[0.0004, 0.00015848931924611142, 1.5685557876963556], init_params:[2, -0.2945243112740431, 5], optimal_params:[5.001411077346081, 0.0029554046895021446, 1.5685557876963556], encoded_infidelity:0.0008330180825529904, benchmark_infidelity:0.00025050922590830194, diff:0.0005825088566446885, ratio:3.325299016563621
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.851028806584356, 1, 9], meas_params:[-0.06351059222534905, 0], noise_params:[0.0004, 0.00015848931924611142, 11.686213991769545], init_params:[4, -0.2945243112740431, 10], optimal_params:[6.851028806584356, -0.06351059222534905, 11.686213991769545], encoded_infidelity:0.00038263493706877, benchmark_infidelity:0.0018632608755214664, diff:-0.0014806259384526964, ratio:0.2053576834546493
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.585419248524411, 1, 9], meas_params:[-0.044435182095354325, 0], noise_params:[0.0004, 0.00015848931924611142, 15.829568470499776], init_params:[6, -0.2945243112740431, 15], optimal_params:[6.585419248524411, -0.044435182095354325, 15.829568470499776], encoded_infidelity:0.0005969543754839949, benchmark_infidelity:0.0025221596730218288, diff:-0.001925205297537834, ratio:0.23668381580646597
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 6.045075902698747, 1, 9], meas_params:[-0.030340113063977436, 0], noise_params:[0.0008, 0.00015848931924611142, 5.1389639276675565], init_params:[2, -0.2945243112740431, 5], optimal_params:[6.045075902698747, -0.030340113063977436, 5.1389639276675565], encoded_infidelity:0.0008290995306406062, benchmark_infidelity:0.0015037188954621916, diff:-0.0006746193648215854, ratio:0.5513660386542988
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 5.94721547099822, 1, 9], meas_params:[-0.043180720984974, 0], noise_params:[0.0008, 0.00015848931924611142, 13.35029659463433], init_params:[4, -0.2945243112740431, 10], optimal_params:[5.94721547099822, -0.043180720984974, 13.35029659463433], encoded_infidelity:0.001611639948219681, benchmark_infidelity:0.0038964457919448137, diff:-0.0022848058437251327, ratio:0.41361795704984544
