scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3010558192320367, 1, 9], meas_params:[-0.0323384147347729, 0], noise_params:[0.0006000000000000001, 0.0001, 49.3681398892388], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.3010558192320367, -0.0323384147347729, 49.3681398892388], encoded_infidelity:0.01062727007740891, benchmark_infidelity:0.010574556115058531, diff:5.271396235037931e-05, ratio:1.0049849810977232
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.282712999355353, 1, 9], meas_params:[-0.026824135746184898, 0], noise_params:[0.0006000000000000001, 0.0001, 49.51116931267393], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.282712999355353, -0.026824135746184898, 49.51116931267393], encoded_infidelity:0.010649711809174168, benchmark_infidelity:0.010604841513144336, diff:4.487029602983153e-05, ratio:1.0042311142485454
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3395156467553644, 1, 9], meas_params:[-0.044759893276021666, 0], noise_params:[0.0005, 0.0001, 49.778352167468995], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.3395156467553644, -0.044759893276021666, 49.778352167468995], encoded_infidelity:0.008622114348120904, benchmark_infidelity:0.009037850333408426, diff:-0.0004157359852875221, ratio:0.9540005676183027
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.379725773094359, 1, 9], meas_params:[-0.02652468259179062, 0], noise_params:[0.0005, 0.0001, 44.27991093259984], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.379725773094359, -0.02652468259179062, 44.27991093259984], encoded_infidelity:0.007670344068729313, benchmark_infidelity:0.008048154473831559, diff:-0.00037781040510224614, ratio:0.9530562682002824
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3603439223924267, 1, 9], meas_params:[-0.038511961359758165, 0], noise_params:[0.0005, 0.0001, 49.09600284016673], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.3603439223924267, -0.038511961359758165, 49.09600284016673], encoded_infidelity:0.00848331778812961, benchmark_infidelity:0.008915145821373982, diff:-0.0004318280332443712, ratio:0.9515624262466837
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.22732112174421, 1, 9], meas_params:[-0.028516877169976928, 0], noise_params:[0.00055, 0.0001, 53.41471783586347], init_params:[2, -0.39269908169872414, 5], optimal_params:[2.22732112174421, -0.028516877169976928, 53.41471783586347], encoded_infidelity:0.010459836010987973, benchmark_infidelity:0.01056178241099115, diff:-0.00010194640000317674, ratio:0.9903476140639779
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.2946439128660545, 1, 9], meas_params:[-0.07386753701290945, 0], noise_params:[0.00055, 0.0001, 53.09580451950415], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.2946439128660545, -0.07386753701290945, 53.09580451950415], encoded_infidelity:0.010603989331764796, benchmark_infidelity:0.010499436422800934, diff:0.00010455290896386159, ratio:1.0099579543847526
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.3097590710321407, 1, 9], meas_params:[-0.021308984739140516, 0], noise_params:[0.00055, 0.0001, 48.54623526092798], init_params:[6, -0.39269908169872414, 15], optimal_params:[2.3097590710321407, -0.021308984739140516, 48.54623526092798], encoded_infidelity:0.009417952380814658, benchmark_infidelity:0.009609091829506533, diff:-0.0001911394486918752, ratio:0.9801084793356907
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.521064297987172, 1, 9], meas_params:[-0.284132923352605, 0], noise_params:[0.0001, 0.00015848931924611142, 7.174124408037013], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.521064297987172, -0.284132923352605, 7.174124408037013], encoded_infidelity:0.00016313240974698926, benchmark_infidelity:0.0004284550383739649, diff:-0.0002653226286269757, ratio:0.38074569123074176
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.308973320886034, 1, 9], meas_params:[-0.26524993663732044, 0], noise_params:[0.0001, 0.00015848931924611142, 10.81512004331149], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.308973320886034, -0.26524993663732044, 10.81512004331149], encoded_infidelity:0.00025417179387387655, benchmark_infidelity:0.0006457612455864625, diff:-0.000391589451712586, ratio:0.39360025955575073
