scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.558424244544248, 4, 8.558424244544248], meas_params:[0.09968777748070892, 0.09968777748070892], noise_params:[8e-05, 0.0001, 22.542169450766792], init_params:[7, 0.2945243112740431, 20], optimal_params:[8.558424244544248, 0.09968777748070892, 22.542169450766792], encoded_infidelity:0.0004357303562091408, benchmark_infidelity:0.0009758709546791033, diff:-0.0005401405984699625, leading_ec_infidelity:6.517760045932075e-05, diff_leading:-0.0006053181989292833
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.88238579558389, 4, 7.88238579558389], meas_params:[0.0893224732713353, 0.0893224732713353], noise_params:[9e-05, 0.0001, 21.732626953627936], init_params:[4, 0.2945243112740431, 5], optimal_params:[7.88238579558389, 0.0893224732713353, 21.732626953627936], encoded_infidelity:0.0005024282011714121, benchmark_infidelity:0.001013160718421724, diff:-0.0005107325172503119, leading_ec_infidelity:7.605921894304757e-05, diff_leading:-0.0005867917361933594
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.527672667336056, 4, 8.527672667336056], meas_params:[0.10188449586699438, 0.10188449586699438], noise_params:[9e-05, 0.0001, 20.96039613698534], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.527672667336056, 0.10188449586699438, 20.96039613698534], encoded_infidelity:0.00045364846959861094, benchmark_infidelity:0.0009771950533500329, diff:-0.0005235465837514219, leading_ec_infidelity:6.305769134484773e-05, diff_leading:-0.0005866042750962697
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.520140424664426, 4, 8.520140424664426], meas_params:[0.10269418628308788, 0.10269418628308788], noise_params:[9e-05, 0.0001, 20.673239238502838], init_params:[6, 0.2945243112740431, 15], optimal_params:[8.520140424664426, 0.10269418628308788, 20.673239238502838], encoded_infidelity:0.00044000168293167885, benchmark_infidelity:0.0009638204255404403, diff:-0.0005238187426087615, leading_ec_infidelity:6.369767656810854e-05, diff_leading:-0.00058751641917687
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.52212564785857, 4, 8.52212564785857], meas_params:[0.10244992348778026, 0.10244992348778026], noise_params:[9e-05, 0.0001, 20.622228414654153], init_params:[7, 0.2945243112740431, 20], optimal_params:[8.52212564785857, 0.10244992348778026, 20.622228414654153], encoded_infidelity:0.00043764378902688694, benchmark_infidelity:0.0009614445064508592, diff:-0.0005238007174239723, leading_ec_infidelity:6.253277679746372e-05, diff_leading:-0.000586333494221436
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.530580705220117, 4, 8.530580705220117], meas_params:[0.1083938666718145, 0.1083938666718145], noise_params:[0.0001, 0.0001, 10.149187090324823], init_params:[4, 0.2945243112740431, 5], optimal_params:[8.530580705220117, 0.1083938666718145, 10.149187090324823], encoded_infidelity:0.00013119770545644283, benchmark_infidelity:0.0005072019266165739, diff:-0.0003760042211601311, leading_ec_infidelity:2.2318898099116247e-05, diff_leading:-0.00039832311925924735
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.432706801907027, 4, 8.432706801907027], meas_params:[0.10455316110872862, 0.10455316110872862], noise_params:[0.0001, 0.0001, 19.18462962170316], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.432706801907027, 0.10455316110872862, 19.18462962170316], encoded_infidelity:0.0004495488735534181, benchmark_infidelity:0.0009583119441770593, diff:-0.0005087630706236412, leading_ec_infidelity:6.471688046028046e-05, diff_leading:-0.0005734799510839217
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.482215002297552, 4, 8.482215002297552], meas_params:[0.10559626090802449, 0.10559626090802449], noise_params:[0.0001, 0.0001, 19.12873893405337], init_params:[6, 0.2945243112740431, 15], optimal_params:[8.482215002297552, 0.10559626090802449, 19.12873893405337], encoded_infidelity:0.00044679053159102367, benchmark_infidelity:0.0009555227580714254, diff:-0.0005087322264804017, leading_ec_infidelity:6.417380816226004e-05, diff_leading:-0.0005729060346426618
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.46284244288641, 4, 8.46284244288641], meas_params:[0.10489570123760486, 0.10489570123760486], noise_params:[0.0001, 0.0001, 19.26945901414688], init_params:[7, 0.2945243112740431, 20], optimal_params:[8.46284244288641, 0.10489570123760486, 19.26945901414688], encoded_infidelity:0.00045381119178700136, benchmark_infidelity:0.0009625452665419365, diff:-0.0005087340747549352, leading_ec_infidelity:6.442672168882613e-05, diff_leading:-0.0005731607964437613
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 7.661887057880417, 4, 7.661887057880417], meas_params:[0.10911244078638688, 0.10911244078638688], noise_params:[0.0002, 0.0001, 10.42476586354049], init_params:[4, 0.2945243112740431, 5], optimal_params:[7.661887057880417, 0.10911244078638688, 10.42476586354049], encoded_infidelity:0.0004985541658083514, benchmark_infidelity:0.0008679611660812325, diff:-0.0003694070002728811, leading_ec_infidelity:8.654350814918388e-05, diff_leading:-0.00045595050842206497
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[4, 8.251937317773006, 4, 8.251937317773006], meas_params:[0.11925461348576916, 0.11925461348576916], noise_params:[0.0002, 0.0001, 10.537965565414746], init_params:[5, 0.2945243112740431, 10], optimal_params:[8.251937317773006, 0.11925461348576916, 10.537965565414746], encoded_infidelity:0.0004926467630806952, benchmark_infidelity:0.0008773776812750489, diff:-0.0003847309181943537, leading_ec_infidelity:6.640359455112321e-05, diff_leading:-0.0004511345127454769
