scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.2050166960482196, 1, 9], meas_params:[-0.050618945187441824, 0], noise_params:[0.003, 0.0001, 11.042549948382721], init_params:[3, -0.2, 12], optimal_params:[3.2050166960482196, -0.050618945187441824, 11.042549948382721], encoded_infidelity:0.012009160249128903, benchmark_infidelity:0.011087591994511592, diff:0.000921568254617311, ratio:1.0831170785390996
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.8995329921316664, 1, 9], meas_params:[-0.08148648025063379, 0], noise_params:[0.0016, 0.0001, 8.388259710632799], init_params:[4, -0.05, 9], optimal_params:[3.8995329921316664, -0.08148648025063379, 8.388259710632799], encoded_infidelity:0.003466064819196979, benchmark_infidelity:0.004590146253502403, diff:-0.001124081434305424, ratio:0.7551098870874278
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 4.588356334248973, 1, 9], meas_params:[-0.10070671259129063, 0], noise_params:[0.0008, 0.0001, 7.348339194484534], init_params:[4.5, -0.05, 8], optimal_params:[4.588356334248973, -0.10070671259129063, 7.348339194484534], encoded_infidelity:0.0009363874270843509, benchmark_infidelity:0.0020773347470232073, diff:-0.0011409473199388565, ratio:0.45076385903917576
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.139063625045868, 1, 9], meas_params:[-0.10803120152120205, 0], noise_params:[0.0004, 0.0001, 7.606648099337184], init_params:[4.7, -0.05, 8], optimal_params:[5.139063625045868, -0.10803120152120205, 7.606648099337184], encoded_infidelity:0.0002797620729898531, benchmark_infidelity:0.0011396241776185922, diff:-0.0008598621046287391, ratio:0.2454862563327289
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 5.650454042673283, 1, 9], meas_params:[-0.1119065213377789, 0], noise_params:[0.0002, 0.0001, 8.29887862611664], init_params:[4.8, -0.05, 7.5], optimal_params:[5.650454042673283, -0.1119065213377789, 8.29887862611664], encoded_infidelity:8.51667876063944e-05, benchmark_infidelity:0.0006910856139485944, diff:-0.0006059188263422, ratio:0.12323623280158374
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 6.152324590264751, 1, 9], meas_params:[-0.11424535950422754, 0], noise_params:[0.0001, 0.0001, 9.242810448618581], init_params:[5, -0.05, 7], optimal_params:[6.152324590264751, -0.11424535950422754, 9.242810448618581], encoded_infidelity:2.6061113376107947e-05, benchmark_infidelity:0.00046192701435432415, diff:-0.0004358659009782162, ratio:0.05641824913084126
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.6722664429198364, 1, 9], meas_params:[-0.06952303366475543, 0], noise_params:[0.002, 0.00015848931924611142, 9.079915389985786], init_params:[4, -0.1, 8], optimal_params:[3.6722664429198364, -0.06952303366475543, 9.079915389985786], encoded_infidelity:0.005659157783605262, benchmark_infidelity:0.006249853122812454, diff:-0.0005906953392071923, ratio:0.9054865246270976
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.5976270731902824, 1, 9], meas_params:[-0.06537054504824186, 0], noise_params:[0.0021, 0.00015848931924611142, 9.488248539897416], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.5976270731902824, -0.06537054504824186, 9.488248539897416], encoded_infidelity:0.006370054739649356, benchmark_infidelity:0.006840473309547512, diff:-0.00047041856989815667, ratio:0.9312301139686379
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.5187783869162734, 1, 9], meas_params:[-0.06298694541997274, 0], noise_params:[0.0023, 0.00015848931924611142, 9.607902262702096], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.5187783869162734, -0.06298694541997274, 9.607902262702096], encoded_infidelity:0.007401013695194525, benchmark_infidelity:0.007556297459164418, diff:-0.0001552837639698934, ratio:0.9794497550144002
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.4760520175250784, 1, 9], meas_params:[-0.06123710876086985, 0], noise_params:[0.0024, 0.00015848931924611142, 9.871964714665808], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.4760520175250784, -0.06123710876086985, 9.871964714665808], encoded_infidelity:0.008103964962612231, benchmark_infidelity:0.008085458168721082, diff:1.8506793891148732e-05, ratio:1.0022888986010394
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[3, 3.570565821520349, 1, 9], meas_params:[-0.06530723385788992, 0], noise_params:[0.0022, 0.00015848931924611142, 9.403702061759573], init_params:[4, -0.1, 8], optimal_params:[3.570565821520349, -0.06530723385788992, 9.403702061759573], encoded_infidelity:0.006775034744699204, benchmark_infidelity:0.0070886042314843856, diff:-0.00031356948678518126, ratio:0.9557642835535314
