scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.322692420255134, 1, 9], meas_params:[-0.03332845447402313, 0], noise_params:[0.0007, 0.0001, 32.59877206091767], init_params:[3, -0.3, 30], optimal_params:[2.322692420255134, -0.03332845447402313, 32.59877206091767], encoded_infidelity:0.009316573094422131, benchmark_infidelity:0.00807841307806978, diff:0.001238160016352352, ratio:1.1532677277562777
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.8816423876351296, 1, 9], meas_params:[-0.049729769919955855, 0], noise_params:[0.0001, 0.0001, 49.137612420930154], init_params:[3, 0, 50], optimal_params:[2.8816423876351296, -0.049729769919955855, 49.137612420930154], encoded_infidelity:0.0012178085418591555, benchmark_infidelity:0.0024508542334445993, diff:-0.0012330456915854437, ratio:0.49689146145079527
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.486973523458028, 1, 9], meas_params:[-0.03704346620017798, 0], noise_params:[0.00045, 0.00015848931924611142, 33.19835160555061], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.486973523458028, -0.03704346620017798, 33.19835160555061], encoded_infidelity:0.005699379140000738, benchmark_infidelity:0.00582123126680989, diff:-0.00012185212680915214, ratio:0.9790676368582194
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.4542786211699372, 1, 9], meas_params:[-0.03607526720075608, 0], noise_params:[0.0005, 0.00015848931924611142, 32.64500706926174], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.4542786211699372, -0.03607526720075608, 32.64500706926174], encoded_infidelity:0.006376178657127696, benchmark_infidelity:0.006261881815596948, diff:0.0001142968415307477, ratio:1.0182527944309105
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.734319334757294, 1, 9], meas_params:[-0.04385667558449551, 0], noise_params:[0.0002, 0.00015848931924611142, 38.64060382261299], init_params:[3, -0.3, 35], optimal_params:[2.734319334757294, -0.04385667558449551, 38.64060382261299], encoded_infidelity:0.002430963513536888, benchmark_infidelity:0.0035837864619304716, diff:-0.0011528229483935837, ratio:0.6783226454366942
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.612193970518843, 1, 9], meas_params:[-0.04076366913221287, 0], noise_params:[0.0003, 0.00015848931924611142, 35.62094785037713], init_params:[3, -0.3, 35], optimal_params:[2.612193970518843, -0.04076366913221287, 35.62094785037713], encoded_infidelity:0.0037090635828714857, benchmark_infidelity:0.004482452002288029, diff:-0.000773388419416543, ratio:0.8274630896166264
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.5235084734915425, 1, 9], meas_params:[-0.03813553607099289, 0], noise_params:[0.0004, 0.00015848931924611142, 33.84964035168608], init_params:[3, -0.3, 35], optimal_params:[2.5235084734915425, -0.03813553607099289, 33.84964035168608], encoded_infidelity:0.00502828711417147, benchmark_infidelity:0.0053773669123254875, diff:-0.00034907979815401724, ratio:0.9350835076264017
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.397806098139837, 1, 9], meas_params:[-0.03446886862818656, 0], noise_params:[0.0006, 0.00015848931924611142, 31.74767027188276], init_params:[3, -0.3, 30], optimal_params:[2.397806098139837, -0.03446886862818656, 31.74767027188276], encoded_infidelity:0.007744316116011674, benchmark_infidelity:0.007134034677518719, diff:0.0006102814384929545, ratio:1.0855450619571723
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.350086289128509, 1, 9], meas_params:[-0.03316782041705357, 0], noise_params:[0.0007, 0.00015848931924611142, 31.049216668424016], init_params:[3, -0.3, 30], optimal_params:[2.350086289128509, -0.03316782041705357, 31.049216668424016], encoded_infidelity:0.009130268052563228, benchmark_infidelity:0.00799642331822159, diff:0.001133844734341638, ratio:1.1417939857883619
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.93698378859328, 1, 9], meas_params:[-0.04661212393007815, 0], noise_params:[0.0001, 0.00015848931924611142, 45.21164563369], init_params:[3, 0, 45], optimal_params:[2.93698378859328, -0.04661212393007815, 45.21164563369], encoded_infidelity:0.001201944592002513, benchmark_infidelity:0.0026939347493625254, diff:-0.0014919901573600125, ratio:0.4461669282401636
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.669243518023086, 1, 9], meas_params:[-0.03979800544273629, 0], noise_params:[0.0003, 0.00025118864315095795, 32.48714292894485], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.669243518023086, -0.03979800544273629, 32.48714292894485], encoded_infidelity:0.0036104583819135394, benchmark_infidelity:0.004587570832613963, diff:-0.0009771124507004236, ratio:0.7870087489976318
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.6191394136874795, 1, 9], meas_params:[-0.038690218366826415, 0], noise_params:[0.00035, 0.00025118864315095795, 31.690408555162286], init_params:[3, -0.39269908169872414, 20], optimal_params:[2.6191394136874795, -0.038690218366826415, 31.690408555162286], encoded_infidelity:0.004243437756859314, benchmark_infidelity:0.004998635806471863, diff:-0.0007551980496125488, ratio:0.8489191693792185
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.575438809534941, 1, 9], meas_params:[-0.03763746228435674, 0], noise_params:[0.0004, 0.00025118864315095795, 31.053622348790505], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.575438809534941, -0.03763746228435674, 31.053622348790505], encoded_infidelity:0.004885413777594549, benchmark_infidelity:0.005410750182788138, diff:-0.0005253364051935883, ratio:0.9029087672787576
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.536719859736392, 1, 9], meas_params:[-0.03666311244140408, 0], noise_params:[0.00045, 0.00025118864315095795, 30.53223505120296], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.536719859736392, -0.03666311244140408, 30.53223505120296], encoded_infidelity:0.005535561516418319, benchmark_infidelity:0.005823371501162189, diff:-0.00028780998474386976, ratio:0.9505767432686665
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.5020209047162103, 1, 9], meas_params:[-0.03577423445189207, 0], noise_params:[0.0005, 0.00025118864315095795, 30.095099230359395], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.5020209047162103, -0.03577423445189207, 30.095099230359395], encoded_infidelity:0.0061928037753079535, benchmark_infidelity:0.0062357845981474425, diff:-4.298082283948901e-05, ratio:0.993107391353406
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.44202296242418, 1, 9], meas_params:[-0.03424381524048104, 0], noise_params:[0.0006, 0.00025118864315095795, 29.39615433975525], init_params:[2.5, 0, 30], optimal_params:[2.44202296242418, -0.03424381524048104, 29.39615433975525], encoded_infidelity:0.007525008907444453, benchmark_infidelity:0.0070581435608064735, diff:0.00046686534663797907, ratio:1.0661456291751361
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.3914581604311786, 1, 9], meas_params:[-0.03298725517197208, 0], noise_params:[0.0007, 0.00025118864315095795, 28.856491493582997], init_params:[2.5, -0.3, 30], optimal_params:[2.3914581604311786, -0.03298725517197208, 28.856491493582997], encoded_infidelity:0.008877095100618071, benchmark_infidelity:0.007876229655717881, diff:0.0010008654449001897, ratio:1.1270741825276254
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.799187443363503, 1, 9], meas_params:[-0.04199850412656456, 0], noise_params:[0.0002, 0.00025118864315095795, 34.90507018714636], init_params:[3, 0, 35], optimal_params:[2.799187443363503, -0.04199850412656456, 34.90507018714636], encoded_infidelity:0.0023758099199741034, benchmark_infidelity:0.003773938517285136, diff:-0.0013981285973110325, ratio:0.6295306373149909
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 3.0223059810763284, 1, 9], meas_params:[-0.04378374349581518, 0], noise_params:[0.0001, 0.00025118864315095795, 39.704369836213324], init_params:[3, 0, 37], optimal_params:[3.0223059810763284, -0.04378374349581518, 39.704369836213324], encoded_infidelity:0.0011792510242997212, benchmark_infidelity:0.0029762991492582325, diff:-0.0017970481249585113, ratio:0.396213876751475
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.7516365016779556, 1, 9], meas_params:[-0.03860740749738953, 0], noise_params:[0.0003, 0.00039810717055349735, 28.466595118567522], init_params:[4, -0.39269908169872414, 10], optimal_params:[2.7516365016779556, -0.03860740749738953, 28.466595118567522], encoded_infidelity:0.003505436472150625, benchmark_infidelity:0.004712990914199078, diff:-0.001207554442048453, ratio:0.7437817165294358
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.6976435597396016, 1, 9], meas_params:[-0.03780214166070715, 0], noise_params:[0.00035, 0.00039810717055349735, 27.90132866824888], init_params:[3, -0.39269908169872414, 20], optimal_params:[2.6976435597396016, -0.03780214166070715, 27.90132866824888], encoded_infidelity:0.004111445091609767, benchmark_infidelity:0.00508042954104404, diff:-0.0009689844494342736, ratio:0.8092711567779867
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.6507027693278307, 1, 9], meas_params:[-0.03699276383866351, 0], noise_params:[0.0004, 0.00039810717055349735, 27.445700569782705], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.6507027693278307, -0.03699276383866351, 27.445700569782705], encoded_infidelity:0.004725780349611575, benchmark_infidelity:0.005450555497962917, diff:-0.000724775148351342, ratio:0.8670272876549522
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.6091366004279894, 1, 9], meas_params:[-0.03619984681609473, 0], noise_params:[0.00045, 0.00039810717055349735, 27.073431404221132], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.6091366004279894, -0.03619984681609473, 27.073431404221132], encoded_infidelity:0.005348236920281302, benchmark_infidelity:0.005823166954081915, diff:-0.0004749300338006135, ratio:0.9184412816006078
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.571837397379368, 1, 9], meas_params:[-0.03543666074442088, 0], noise_params:[0.0005, 0.00039810717055349735, 26.76459970420538], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.571837397379368, -0.03543666074442088, 26.76459970420538], encoded_infidelity:0.005978280128728586, benchmark_infidelity:0.0061977934593802075, diff:-0.0002195133306516217, ratio:0.9645820190539919
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.538047203734334, 1, 9], meas_params:[-0.03471618956924038, 0], noise_params:[0.00055, 0.00039810717055349735, 26.50571794878394], init_params:[3, -0.39269908169872414, 30], optimal_params:[2.538047203734334, -0.03471618956924038, 26.50571794878394], encoded_infidelity:0.006615573618468651, benchmark_infidelity:0.006574239357445388, diff:4.133426102326254e-05, ratio:1.0062873069834994
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[2, 2.50718536820947, 1, 9], meas_params:[-0.03404423021600896, 0], noise_params:[0.0006, 0.00039810717055349735, 26.284981336846734], init_params:[2.5, -0.3, 25], optimal_params:[2.50718536820947, -0.03404423021600896, 26.284981336846734], encoded_infidelity:0.0072593073570930144, benchmark_infidelity:0.0069518640729268055, diff:0.0003074432841662089, ratio:1.044224582204291
