scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.834781032975037, 4, 7.705807120387448], meas_params:[-0.08683935216081362, -0.1425965395990187], noise_params:[0.0004, 0.0001, 8.089208346530448], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[6.834781032975037, 7.705807120387448, -0.08683935216081362, -0.1425965395990187, 8.089208346530448], encoded_infidelity:0.0010222898928823332, benchmark_infidelity:0.001211828563301487, diff:-0.00018953867041915373, ratio:0.8435928346970322
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.375563976175627, 4, 7.53975588595106], meas_params:[-0.07911883553356183, -0.1459626441128825], noise_params:[0.00045, 0.0001, 10.552296045194826], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[6.375563976175627, 7.53975588595106, -0.07911883553356183, -0.1459626441128825, 10.552296045194826], encoded_infidelity:0.001645466920498273, benchmark_infidelity:0.001755437801575943, diff:-0.00010997088107767006, ratio:0.9373541569066453
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.614275519854292, 4, 7.649725572264234], meas_params:[-0.09042795784741631, -0.15042760183295242], noise_params:[0.0005, 0.0001, 8.201154324486412], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[6.614275519854292, 7.649725572264234, -0.09042795784741631, -0.15042760183295242, 8.201154324486412], encoded_infidelity:0.0015415053131290213, benchmark_infidelity:0.0015011375879619981, diff:4.036772516702314e-05, ratio:1.0268914225389745
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.267862003669315, 4, 7.410449120219207], meas_params:[-0.08358575254215492, -0.15262663009334837], noise_params:[0.00055, 0.0001, 10.26335035579595], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[6.267862003669315, 7.410449120219207, -0.08358575254215492, -0.15262663009334837, 10.26335035579595], encoded_infidelity:0.0022680639144599946, benchmark_infidelity:0.002048167407608159, diff:0.00021989650685183548, ratio:1.1073625652058539
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.09860332830579, 4, 7.241718430863022], meas_params:[-0.07966064771407308, -0.15129586056438238], noise_params:[0.0006, 0.0001, 10.714827548555398], init_params:[6, 8, -0.1, -0.1, 9], optimal_params:[6.09860332830579, 7.241718430863022, -0.07966064771407308, -0.15129586056438238, 10.714827548555398], encoded_infidelity:0.0027511853154124077, benchmark_infidelity:0.002315768052309708, diff:0.0004354172631026998, ratio:1.1880228301225686
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.305059939375139, 4, 8.049380687656832], meas_params:[-0.09027519149463553, -0.14562955130284755], noise_params:[0.00035, 0.00015848931924611142, 7.3605906746631895], init_params:[7, 8, -0.1, -0.1, 10], optimal_params:[7.305059939375139, 8.049380687656832, -0.09027519149463553, -0.14562955130284755, 7.3605906746631895], encoded_infidelity:0.0008733725546580251, benchmark_infidelity:0.0010520288307610537, diff:-0.0001786562761030286, ratio:0.8301792965371625
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.847180368814389, 4, 8.99977335774047], meas_params:[-0.08887823297069233, -0.13826821123118788], noise_params:[0.0001, 0.00015848931924611142, 7.9739993291991205], init_params:[8, 8, -0.1, -0.1, 9], optimal_params:[8.847180368814389, 8.99977335774047, -0.08887823297069233, -0.13826821123118788, 7.9739993291991205], encoded_infidelity:9.900795921258254e-05, benchmark_infidelity:0.0004762023312189223, diff:-0.00037719437200633976, ratio:0.2079115382723023
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.673971007594144, 4, 8.815729221449644], meas_params:[-0.10747293567336003, -0.14198727596017746], noise_params:[0.0002, 0.00015848931924611142, 4.6860483702043325], init_params:[7, 8, -0.1, -0.1, 9], optimal_params:[8.673971007594144, 8.815729221449644, -0.10747293567336003, -0.14198727596017746, 4.6860483702043325], encoded_infidelity:0.0001995438066705324, benchmark_infidelity:0.0004359939338892671, diff:-0.0002364501272187347, ratio:0.45767564904059455
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.173777810853858, 4, 8.671031453939403], meas_params:[-0.1037538645287151, -0.14680315591289772], noise_params:[0.00025, 0.00015848931924611142, 5.9710091473524205], init_params:[7, 8, -0.1, -0.1, 9], optimal_params:[8.173777810853858, 8.671031453939403, -0.1037538645287151, -0.14680315591289772, 5.9710091473524205], encoded_infidelity:0.0003843560234946253, benchmark_infidelity:0.0006548742430553256, diff:-0.0002705182195607003, ratio:0.5869157743957167
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.80237189996561, 4, 8.194562377337114], meas_params:[-0.09948867133142822, -0.13913638963843206], noise_params:[0.0003, 0.00015848931924611142, 5.634637892500944], init_params:[7, 8, -0.1, -0.1, 8], optimal_params:[7.80237189996561, 8.194562377337114, -0.09948867133142822, -0.13913638963843206, 5.634637892500944], encoded_infidelity:0.0005122447209023884, benchmark_infidelity:0.0007117861590447694, diff:-0.000199541438142381, ratio:0.7196609745683037
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.24429930914151, 4, 7.821900529610948], meas_params:[-0.09407570738492443, -0.1398233977481621], noise_params:[0.0004, 0.00015848931924611142, 6.170899594070909], init_params:[6, 7, -0.1, -0.1, 8], optimal_params:[7.24429930914151, 7.821900529610948, -0.09407570738492443, -0.1398233977481621, 6.170899594070909], encoded_infidelity:0.0009385314057891447, benchmark_infidelity:0.0009847882957316756, diff:-4.6256889942530854e-05, ratio:0.9530285949345458
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.869644458461688, 4, 7.6816087821411525], meas_params:[-0.08413334808563785, -0.14693881786969484], noise_params:[0.00045, 0.00015848931924611142, 8.143661538779558], init_params:[6, 7, -0.1, -0.1, 8], optimal_params:[6.869644458461688, 7.6816087821411525, -0.08413334808563785, -0.14693881786969484, 8.143661538779558], encoded_infidelity:0.0015000094495910554, benchmark_infidelity:0.0014345230620547156, diff:6.548638753633984e-05, ratio:1.0456502856374728
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.657405174619456, 4, 7.508728838942623], meas_params:[-0.08432214644056035, -0.14584579455416063], noise_params:[0.0005, 0.00015848931924611142, 8.373132988985937], init_params:[6, 7, -0.1, -0.1, 8], optimal_params:[6.657405174619456, 7.508728838942623, -0.08432214644056035, -0.14584579455416063, 8.373132988985937], encoded_infidelity:0.0018475041078073184, benchmark_infidelity:0.0016139734442397469, diff:0.00023353066356757157, ratio:1.1446930024784732
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.543449007927912, 4, 7.417825468418731], meas_params:[-0.08388450154568862, -0.14416049021748842], noise_params:[0.00055, 0.00015848931924611142, 8.3361748517708], init_params:[6, 7, -0.1, -0.1, 8], optimal_params:[6.543449007927912, 7.417825468418731, -0.08388450154568862, -0.14416049021748842, 8.3361748517708], encoded_infidelity:0.0021638824331832174, benchmark_infidelity:0.0017452967538775788, diff:0.0004185856793056386, ratio:1.239836393653775
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 6.3958422948409, 4, 7.32515238406021], meas_params:[-0.08093926256854277, -0.1461516353182376], noise_params:[0.0006, 0.00015848931924611142, 8.663695226673694], init_params:[6, 7, -0.1, -0.1, 8], optimal_params:[6.3958422948409, 7.32515238406021, -0.08093926256854277, -0.1461516353182376, 8.663695226673694], encoded_infidelity:0.002598909685310624, benchmark_infidelity:0.001957544388554777, diff:0.000641365296755847, ratio:1.3276376773399026
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 7.24373246297125, 4, 7.735722812172762], meas_params:[-0.07902159341076828, -0.13689636807829195], noise_params:[0.0004, 0.00025118864315095795, 6.995764350852953], init_params:[7.5, 8, -0.1, -0.1, 9], optimal_params:[7.24373246297125, 7.735722812172762, -0.07902159341076828, -0.13689636807829195, 6.995764350852953], encoded_infidelity:0.0013700233404531081, benchmark_infidelity:0.0012241286796346174, diff:0.00014589466081849078, ratio:1.1191824546272684
