scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.189633728935039, 1, 9], meas_params:[-0.10814748833465296, 0], noise_params:[0.0004, 0.0001, 3.241119063554942], init_params:[2, -0.34906585039886584, 5], optimal_params:[5.189633728935039, -0.10814748833465296, 3.241119063554942], encoded_infidelity:0.0002059201600131686, benchmark_infidelity:0.0004859184593382082, diff:-0.00027999829932503963, ratio:0.4237751335761549
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.913237634774387, 1, 9], meas_params:[-0.10084592830349962, 0], noise_params:[0.0004, 0.0001, 11.013439341666603], init_params:[4, -0.34906585039886584, 10], optimal_params:[4.913237634774387, -0.10084592830349962, 11.013439341666603], encoded_infidelity:0.0004468953538376675, benchmark_infidelity:0.0016491386560210097, diff:-0.0012022433021833421, ratio:0.2709871314980407
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.41801194986243, 1, 9], meas_params:[-0.06619889468893092, 0], noise_params:[0.0004, 0.0001, 21.82433373278692], init_params:[6, -0.34906585039886584, 15], optimal_params:[4.41801194986243, -0.06619889468893092, 21.82433373278692], encoded_infidelity:0.0010744322251492293, benchmark_infidelity:0.0032623653490609916, diff:-0.0021879331239117623, ratio:0.32934147778956874
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.42720766987178, 1, 9], meas_params:[-0.09401455909063804, 0], noise_params:[0.0008, 0.0001, 9.337609208411676], init_params:[2, -0.34906585039886584, 5], optimal_params:[4.42720766987178, -0.09401455909063804, 9.337609208411676], encoded_infidelity:0.0012849358647229782, benchmark_infidelity:0.0026380787390275495, diff:-0.0013531428743045713, ratio:0.4870725978393777
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.123827041320963, 1, 9], meas_params:[-0.07678694231218958, 0], noise_params:[0.0008, 0.0001, 13.379540093193118], init_params:[4, -0.34906585039886584, 10], optimal_params:[4.123827041320963, -0.07678694231218958, 13.379540093193118], encoded_infidelity:0.001878196077177093, benchmark_infidelity:0.0037753268029397935, diff:-0.0018971307257627005, ratio:0.497492316616026
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.897253453485797, 1, 9], meas_params:[-0.06758266142015551, 0], noise_params:[0.0008, 0.0001, 19.21430424326298], init_params:[6, -0.34906585039886584, 15], optimal_params:[3.897253453485797, -0.06758266142015551, 19.21430424326298], encoded_infidelity:0.0028643823864479877, benchmark_infidelity:0.005412038954114684, diff:-0.0025476565676666963, ratio:0.5292612286669232
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.6368517498116173, 1, 9], meas_params:[-0.06517314363824656, 0], noise_params:[0.0016, 0.0001, 11.751006556005102], init_params:[2, -0.34906585039886584, 5], optimal_params:[3.6368517498116173, -0.06517314363824656, 11.751006556005102], encoded_infidelity:0.005063150758394523, benchmark_infidelity:0.006417206332402947, diff:-0.001354055574008424, ratio:0.788996098322213
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.8804475607702766, 1, 9], meas_params:[-0.09195302485119702, 0], noise_params:[0.0016, 0.0001, 10.150423921690422], init_params:[4, -0.34906585039886584, 10], optimal_params:[3.8804475607702766, -0.09195302485119702, 10.150423921690422], encoded_infidelity:0.004459838415543278, benchmark_infidelity:0.0055485006378409585, diff:-0.00108866222229768, ratio:0.8037916378934937
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.1951161577237954, 1, 9], meas_params:[-0.033873975246674674, 0], noise_params:[0.0016, 0.0001, 24.930361753740286], init_params:[6, -0.34906585039886584, 15], optimal_params:[3.1951161577237954, -0.033873975246674674, 24.930361753740286], encoded_infidelity:0.011188848566180479, benchmark_infidelity:0.013506537069390867, diff:-0.0023176885032103883, ratio:0.8284024623555922
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 2.838971724138804, 1, 9], meas_params:[-0.027609333179522202, 0], noise_params:[0.0032, 0.0001, 19.563190119673926], init_params:[2, -0.34906585039886584, 5], optimal_params:[2.838971724138804, -0.027609333179522202, 19.563190119673926], encoded_infidelity:0.02307198238869778, benchmark_infidelity:0.020701774324124678, diff:0.0023702080645731025, ratio:1.1144929911544343
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 2.8455418381344297, 1, 9], meas_params:[-0.030035836891124726, 0], noise_params:[0.0032, 0.0001, 19.18510897729003], init_params:[4, -0.34906585039886584, 10], optimal_params:[2.8455418381344297, -0.030035836891124726, 19.18510897729003], encoded_infidelity:0.02269377052613719, benchmark_infidelity:0.02031085041167835, diff:0.002382920114458842, ratio:1.1173225180708686
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 2.6929130342165166, 1, 9], meas_params:[-0.022351418219549078, 0], noise_params:[0.0032, 0.0001, 27.104486058271213], init_params:[6, -0.34906585039886584, 15], optimal_params:[2.6929130342165166, -0.022351418219549078, 27.104486058271213], encoded_infidelity:0.032121685124738786, benchmark_infidelity:0.028425593059913212, diff:0.0036960920648255735, ratio:1.1300269112076304
scheme:HYBRID, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.150132694466783, 1, 9], meas_params:[-0.04394115616019403, 0], noise_params:[0.0024000000000000002, 0.0001, 16.189599781900416], init_params:[2, -0.34906585039886584, 5], optimal_params:[3.150132694466783, -0.04394115616019403, 16.189599781900416], encoded_infidelity:0.012742551187845967, benchmark_infidelity:0.013029512805485033, diff:-0.0002869616176390654, ratio:0.9779760285804191
