scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.725607674239214, 2, 3.511747302451211], meas_params:[-0.09207318260900424, -0.2984889075206075], noise_params:[0.0008, 0, 15.3497702579229], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.725607674239214, 3.511747302451211, -0.09207318260900424, -0.2984889075206075, 15.3497702579229], encoded_infidelity:0.006322078705330645, benchmark_infidelity:0.004074486951661904, diff:0.0022475917536687404, ratio:1.5516257090360766
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.2962856634165263, 2, 4.208072947740154], meas_params:[-0.28121563746368694, -0.36681508987398004], noise_params:[0.0008, 0, 11.595340032466098], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.2962856634165263, 4.208072947740154, -0.28121563746368694, -0.36681508987398004, 11.595340032466098], encoded_infidelity:0.003310122423076273, benchmark_infidelity:0.0030813621805737546, diff:0.00022876024250251866, ratio:1.074239972160599
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.9516430357874377, 2, 3.7781027062834873], meas_params:[-0.20499499771706697, -0.3197131228363679], noise_params:[0.0008, 0, 17.612638705710694], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.9516430357874377, 3.7781027062834873, -0.20499499771706697, -0.3197131228363679, 17.612638705710694], encoded_infidelity:0.005008843177483977, benchmark_infidelity:0.004671984073783109, diff:0.0003368591037008683, ratio:1.0721019375025607
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.8163112923038565, 2, 3.869765724689751], meas_params:[-0.22800668036685826, -0.3243711050931195], noise_params:[0.0008, 0, 23.947680397404806], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[2.8163112923038565, 3.869765724689751, -0.22800668036685826, -0.3243711050931195, 23.947680397404806], encoded_infidelity:0.006229265607925935, benchmark_infidelity:0.006340411901845755, diff:-0.00011114629391982024, ratio:0.9824701777044699
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.007969858366896, 2, 3.01026066377759], meas_params:[0.04638608912825962, -0.284477486582868], noise_params:[0.0016, 0, 22.670529933044122], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.007969858366896, 3.01026066377759, 0.04638608912825962, -0.284477486582868, 22.670529933044122], encoded_infidelity:0.019615147731598722, benchmark_infidelity:0.011928128042948072, diff:0.00768701968865065, ratio:1.6444447662678494
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.668264791128209, 2, 3.4640489938679266], meas_params:[-0.22050262191754733, -0.29269035917116204], noise_params:[0.0016, 0, 14.564332536493694], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[2.668264791128209, 3.4640489938679266, -0.22050262191754733, -0.29269035917116204, 14.564332536493694], encoded_infidelity:0.010429313476331217, benchmark_infidelity:0.007700202774438836, diff:0.002729110701892381, ratio:1.354420627850449
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 1.7845043651740102, 2, 2.769543988554023], meas_params:[0.042946215332972215, -0.2283754070716646], noise_params:[0.0016, 0, 38.797973328742245], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[1.7845043651740102, 2.769543988554023, 0.042946215332972215, -0.2283754070716646, 38.797973328742245], encoded_infidelity:0.025465271761250966, benchmark_infidelity:0.020218753351661678, diff:0.005246518409589288, ratio:1.2594877299474105
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 1.9550376665223586, 2, 3.165077339929751], meas_params:[-0.09031274709889286, -0.2970021025390608], noise_params:[0.0016, 0, 40.648090961651455], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[1.9550376665223586, 3.165077339929751, -0.09031274709889286, -0.2970021025390608, 40.648090961651455], encoded_infidelity:0.021736733645095534, benchmark_infidelity:0.021159670093855554, diff:0.0005770635512399799, ratio:1.0272718595649348
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.0687714126374193, 2, 2.865063897567671], meas_params:[0.1239255206110596, -0.2186903131866882], noise_params:[0.0012000000000000001, 0, 24.498131849770857], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.0687714126374193, 2.865063897567671, 0.1239255206110596, -0.2186903131866882, 24.498131849770857], encoded_infidelity:0.01898038040196305, benchmark_infidelity:0.009692100579203555, diff:0.009288279822759496, ratio:1.9583350633700045
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.091743172579007, 2, 3.853306386433869], meas_params:[-0.26943439702534766, -0.3147914030885105], noise_params:[0.0012000000000000001, 0, 10.262004712549352], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.091743172579007, 3.853306386433869, -0.26943439702534766, -0.3147914030885105, 10.262004712549352], encoded_infidelity:0.005236277105988212, benchmark_infidelity:0.0040859109731780086, diff:0.0011503661328102037, ratio:1.2815445907563308
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.0414737819959115, 2, 2.6982302378738616], meas_params:[-0.024608489292224284, -0.14356542742378958], noise_params:[0.0012000000000000001, 0, 25.124540531610748], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.0414737819959115, 2.6982302378738616, -0.024608489292224284, -0.14356542742378958, 25.124540531610748], encoded_infidelity:0.01775579930016777, benchmark_infidelity:0.009937137718135536, diff:0.007818661582032232, ratio:1.7868122394804866
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.4161323477666325, 2, 3.463775025424077], meas_params:[-0.1740652720933461, -0.3176850278818437], noise_params:[0.0012000000000000001, 0, 29.80820977026977], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[2.4161323477666325, 3.463775025424077, -0.1740652720933461, -0.3176850278818437, 29.80820977026977], encoded_infidelity:0.012470554153410173, benchmark_infidelity:0.011764925046018448, diff:0.000705629107391725, ratio:1.0599773568154205
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.177676107532477, 2, 3.066526876033169], meas_params:[0.05703048989140991, -0.26152855934566277], noise_params:[0.001, 0, 24.836807656978806], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.177676107532477, 3.066526876033169, 0.05703048989140991, -0.26152855934566277, 24.836807656978806], encoded_infidelity:0.013263037496089113, benchmark_infidelity:0.00820235652929957, diff:0.005060680966789542, ratio:1.6169789070631502
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.370216756838518, 2, 4.06428575437995], meas_params:[-0.2896263906951425, -0.33140985990769256], noise_params:[0.001, 0, 8.046543435406523], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.370216756838518, 4.06428575437995, -0.2896263906951425, -0.33140985990769256, 8.046543435406523], encoded_infidelity:0.0033155660544167596, benchmark_infidelity:0.0026741058446528854, diff:0.0006414602097638742, ratio:1.2398783918918286
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 1.8590535315566648, 2, 3.2034071708478358], meas_params:[0.0002879495537030097, -0.26389715647645284], noise_params:[0.001, 0, 51.71547249274987], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[1.8590535315566648, 3.2034071708478358, 0.0002879495537030097, -0.26389715647645284, 51.71547249274987], encoded_infidelity:0.017379413527924558, benchmark_infidelity:0.01690892674638056, diff:0.0004704867815439988, ratio:1.027824757218533
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.85344810445781, 2, 3.8901182417862117], meas_params:[-0.2503221758293035, -0.3274723629686247], noise_params:[0.001, 0, 20.527862559990112], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[2.85344810445781, 3.8901182417862117, -0.2503221758293035, -0.3274723629686247, 20.527862559990112], encoded_infidelity:0.007250611801787222, benchmark_infidelity:0.006790245686404739, diff:0.00046036611538248333, ratio:1.0677981529157652
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.9384094401110685, 2, 3.5586477212332825], meas_params:[0.09852243581918019, -0.25540886255875395], noise_params:[0.0001, 0.0001, 23.409686207388567], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.9384094401110685, 3.5586477212332825, 0.09852243581918019, -0.25540886255875395, 23.409686207388567], encoded_infidelity:0.0016235409474816241, benchmark_infidelity:0.001169115345291849, diff:0.0004544256021897751, ratio:1.3886918463775153
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.510505173069184, 2, 5.2565822550880155], meas_params:[-0.2980591087560111, -0.333794050767171], noise_params:[0.0001, 0.0001, 9.765787166545099], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.510505173069184, 5.2565822550880155, -0.2980591087560111, -0.333794050767171, 9.765787166545099], encoded_infidelity:0.00013128987075026961, benchmark_infidelity:0.0004880510094246171, diff:-0.0003567611386743475, ratio:0.2690085016012005
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.256242129421704, 2, 4.94297543533629], meas_params:[-0.29728347891914814, -0.3547278524987759], noise_params:[0.0001, 0.0001, 7.496968443084388], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[4.256242129421704, 4.94297543533629, -0.29728347891914814, -0.3547278524987759, 7.496968443084388], encoded_infidelity:0.00012793810340594317, benchmark_infidelity:0.00037470794592164847, diff:-0.0002467698425157053, ratio:0.3414341884084173
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.29954105820379, 2, 5.104076280297113], meas_params:[-0.28501826557470267, -0.3317548995334708], noise_params:[0.0001, 0.0001, 15.579292669673237], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.29954105820379, 5.104076280297113, -0.28501826557470267, -0.3317548995334708, 15.579292669673237], encoded_infidelity:0.000224612815033594, benchmark_infidelity:0.0007783581625707692, diff:-0.0005537453475371752, ratio:0.2885725695889673
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.0289739248408374, 2, 3.535927937126253], meas_params:[-0.09749541289647393, -0.27322350825644226], noise_params:[0.0002, 0.0001, 15.028413764733621], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[3.0289739248408374, 3.535927937126253, -0.09749541289647393, -0.27322350825644226, 15.028413764733621], encoded_infidelity:0.0015299538527226546, benchmark_infidelity:0.0012507694098449207, diff:0.00027918444287773386, ratio:1.2232101622251452
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.221521050987317, 2, 4.929203538877447], meas_params:[-0.29851371281339356, -0.34020788309191735], noise_params:[0.0002, 0.0001, 9.21545495408461], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.221521050987317, 4.929203538877447, -0.29851371281339356, -0.34020788309191735, 9.21545495408461], encoded_infidelity:0.0003652221542588728, benchmark_infidelity:0.0007673533507114305, diff:-0.0004021311964525577, ratio:0.47595042612411503
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.588882160586709, 2, 3.725611056753733], meas_params:[0.10973229533164705, -0.22807288524334662], noise_params:[0.0002, 0.0001, 72.98493949517083], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.588882160586709, 3.725611056753733, 0.10973229533164705, -0.22807288524334662, 72.98493949517083], encoded_infidelity:0.005613960435842337, benchmark_infidelity:0.0060445055582446505, diff:-0.00043054512240231317, ratio:0.9287708286056494
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.8150748495060602, 2, 4.874545329917255], meas_params:[-0.2764783956323528, -0.3625547175213162], noise_params:[0.0002, 0.0001, 21.497722870295128], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[3.8150748495060602, 4.874545329917255, -0.2764783956323528, -0.3625547175213162, 21.497722870295128], encoded_infidelity:0.0009340693735467715, benchmark_infidelity:0.0017882073953711108, diff:-0.0008541380218243394, ratio:0.5223495753147368
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.5425992220585503, 2, 3.4490943229820346], meas_params:[0.1337067236059946, -0.29144816623816594], noise_params:[0.0004, 0.0001, 42.23097355123808], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.5425992220585503, 3.4490943229820346, 0.1337067236059946, -0.29144816623816594, 42.23097355123808], encoded_infidelity:0.008007009216714543, benchmark_infidelity:0.006292487514013678, diff:0.0017145217027008646, ratio:1.2724712125185058
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.7932951836039432, 2, 4.4655427085112365], meas_params:[-0.2891263109871792, -0.330262655863939], noise_params:[0.0004, 0.0001, 9.61590421623379], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.7932951836039432, 4.4655427085112365, -0.2891263109871792, -0.330262655863939, 9.61590421623379], encoded_infidelity:0.0010883555442101787, benchmark_infidelity:0.0014401919246406214, diff:-0.0003518363804304427, ratio:0.7557017405730572
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.45946903266031, 2, 3.4427442823957257], meas_params:[0.044014670069174804, -0.292994680856818], noise_params:[0.0004, 0.0001, 40.85101521461719], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.45946903266031, 3.4427442823957257, 0.044014670069174804, -0.292994680856818, 40.85101521461719], encoded_infidelity:0.006379903583763977, benchmark_infidelity:0.006088197881430779, diff:0.0002917057023331983, ratio:1.0479133083408656
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.3988867529946165, 2, 4.379890885972841], meas_params:[-0.26161272916303346, -0.33257656131478164], noise_params:[0.0004, 0.0001, 19.971461426765227], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[3.3988867529946165, 4.379890885972841, -0.26161272916303346, -0.33257656131478164, 19.971461426765227], encoded_infidelity:0.002249794715464715, benchmark_infidelity:0.002986267345642446, diff:-0.0007364726301777309, ratio:0.7533802084892399
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.181401438373106, 2, 2.6886031677879885], meas_params:[0.07263122767896196, -0.14927965978207164], noise_params:[0.0008, 0.0001, 25.51948127082713], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[2.181401438373106, 2.6886031677879885, 0.07263122767896196, -0.14927965978207164, 25.51948127082713], encoded_infidelity:0.01414667975137068, benchmark_infidelity:0.007174126259839042, diff:0.006972553491531638, ratio:1.9719028128295129
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 3.2962049775836526, 2, 4.064626655563602], meas_params:[-0.2688243991823045, -0.32673674684725396], noise_params:[0.0008, 0.0001, 10.67253461287164], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[3.2962049775836526, 4.064626655563602, -0.2688243991823045, -0.32673674684725396, 10.67253461287164], encoded_infidelity:0.0032612670534323106, benchmark_infidelity:0.0030139891534283203, diff:0.00024727790000399034, ratio:1.082043394125264
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.8118253338131467, 2, 3.8483024775589634], meas_params:[-0.22206971332738024, -0.330486376908659], noise_params:[0.0008, 0.0001, 25.900186380440218], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[2.8118253338131467, 3.8483024775589634, -0.22206971332738024, -0.330486376908659, 25.900186380440218], encoded_infidelity:0.007162203025532294, benchmark_infidelity:0.007280302458730348, diff:-0.0001180994331980538, ratio:0.9837782243433537
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 2.9373157453733105, 2, 3.968953293288312], meas_params:[-0.23626851592266318, -0.3268654111027245], noise_params:[0.0008, 0.0001, 21.889455300942906], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[2.9373157453733105, 3.968953293288312, -0.23626851592266318, -0.3268654111027245, 21.889455300942906], encoded_infidelity:0.006168418542025608, benchmark_infidelity:0.006160487990791275, diff:7.930551234333096e-06, ratio:1.0012873251674523
