scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.272240709065519, 3, 5.975064696488889], meas_params:[-0.11565184009959029, -0.160119826289715], noise_params:[0.0001, 0.0001, 8.101253366250358], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[5.272240709065519, 5.975064696488889, -0.11565184009959029, -0.160119826289715, 8.101253366250358], encoded_infidelity:0.00012537084762888402, benchmark_infidelity:0.0004048986368457852, diff:-0.00027952778921690115, ratio:0.30963514376225065
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.991139017208841, 3, 8.961915862550725], meas_params:[-0.15236417084513051, -0.265391016488294], noise_params:[0.0001, 0.0001, 12.424334170670392], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.991139017208841, 8.961915862550725, -0.15236417084513051, -0.265391016488294, 12.424334170670392], encoded_infidelity:0.00012164023102040579, benchmark_infidelity:0.000620830958107832, diff:-0.0004991907270874261, ratio:0.19593132306278793
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.225138647515023, 3, 5.772906333965388], meas_params:[-0.09434812872410135, -0.14503905695254932], noise_params:[0.0001, 0.0001, 8.627396665791029], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[5.225138647515023, 5.772906333965388, -0.09434812872410135, -0.14503905695254932, 8.627396665791029], encoded_infidelity:0.0001352029464561224, benchmark_infidelity:0.00043118380685791546, diff:-0.00029598086040179305, ratio:0.3135622078235297
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 6.059084058304407, 3, 8.935651678597065], meas_params:[-0.13280241525824626, -0.27999680031697494], noise_params:[0.0001, 0.0001, 17.50783114838319], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[6.059084058304407, 8.935651678597065, -0.13280241525824626, -0.27999680031697494, 17.50783114838319], encoded_infidelity:0.00014313566527484272, benchmark_infidelity:0.0008746256940591612, diff:-0.0007314900287843185, ratio:0.16365362491301425
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.3126230162144505, 3, 4.996854169263207], meas_params:[-0.057153669565648824, -0.10443482399236087], noise_params:[0.0002, 0.0001, 13.763276665216093], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.3126230162144505, 4.996854169263207, -0.057153669565648824, -0.10443482399236087, 13.763276665216093], encoded_infidelity:0.0007366829420867176, benchmark_infidelity:0.0011455990095159407, diff:-0.0004089160674292232, ratio:0.6430548001241675
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.180015841736369, 3, 7.1125468370948255], meas_params:[-0.11820740895800355, -0.24244833848939779], noise_params:[0.0002, 0.0001, 11.74659217679476], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.180015841736369, 7.1125468370948255, -0.11820740895800355, -0.24244833848939779, 11.74659217679476], encoded_infidelity:0.00038519630422242506, benchmark_infidelity:0.000977905969612003, diff:-0.0005927096653895779, ratio:0.3938991234251865
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.546323097379753, 3, 5.348171877254796], meas_params:[-0.07508869218081132, -0.14926942100200125], noise_params:[0.0002, 0.0001, 12.845875203629099], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[4.546323097379753, 5.348171877254796, -0.07508869218081132, -0.14926942100200125, 12.845875203629099], encoded_infidelity:0.0005908763017471885, benchmark_infidelity:0.001069321601386286, diff:-0.0004784452996390976, ratio:0.5525711824966097
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.367788905592226, 3, 8.345876071547826], meas_params:[-0.12375730103372513, -0.29017498431925076], noise_params:[0.0002, 0.0001, 22.226555517987705], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[5.367788905592226, 8.345876071547826, -0.12375730103372513, -0.29017498431925076, 22.226555517987705], encoded_infidelity:0.0005746766598741768, benchmark_infidelity:0.0018487181475994596, diff:-0.001274041487725283, ratio:0.3108514191957212
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.303814571293126, 3, 5.017934158783257], meas_params:[-0.07821070012606533, -0.14509549657481802], noise_params:[0.0004, 0.0001, 8.457883184184105], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[4.303814571293126, 5.017934158783257, -0.07821070012606533, -0.14509549657481802, 8.457883184184105], encoded_infidelity:0.0011414272398937002, benchmark_infidelity:0.0012669851023159318, diff:-0.0001255578624222316, ratio:0.9009002850998615
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.012090963025976, 3, 7.069280661329998], meas_params:[-0.14347857503846495, -0.26379398980937663], noise_params:[0.0004, 0.0001, 11.05146365233977], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[5.012090963025976, 7.069280661329998, -0.14347857503846495, -0.26379398980937663, 11.05146365233977], encoded_infidelity:0.001066656241668749, benchmark_infidelity:0.0016548224129954159, diff:-0.0005881661713266668, ratio:0.6445744469571092
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.9410261342408717, 3, 6.418809682418949], meas_params:[-0.04987293684821065, -0.2431134568643033], noise_params:[0.0004, 0.0001, 23.705347269431428], init_params:[5, 8, -0.1, -0.1, 15], optimal_params:[3.9410261342408717, 6.418809682418949, -0.04987293684821065, -0.2431134568643033, 23.705347269431428], encoded_infidelity:0.0026109258338412643, benchmark_infidelity:0.0035424911047222674, diff:-0.000931565270881003, ratio:0.7370310204479573
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.558745208292812, 3, 7.67828960626799], meas_params:[-0.11137739106342365, -0.29182909974646454], noise_params:[0.0004, 0.0001, 26.712915129457038], init_params:[5, 8, -0.3, -0.3, 15], optimal_params:[4.558745208292812, 7.67828960626799, -0.11137739106342365, -0.29182909974646454, 26.712915129457038], encoded_infidelity:0.002154761419289464, benchmark_infidelity:0.003990040064763889, diff:-0.0018352786454744249, ratio:0.5400350333116197
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 3.302453602224799, 3, 4.770072227567974], meas_params:[-0.02596549078504458, -0.20611546927275898], noise_params:[0.0008, 0.0001, 24.982356759595362], init_params:[3, 8, -0.1, -0.1, 7], optimal_params:[3.302453602224799, 4.770072227567974, -0.02596549078504458, -0.20611546927275898, 24.982356759595362], encoded_infidelity:0.007730452249588793, benchmark_infidelity:0.007024283487750971, diff:0.0007061687618378221, ratio:1.10053249745248
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 4.308515408741919, 3, 6.3471454905347855], meas_params:[-0.13597638717571048, -0.2604625204966191], noise_params:[0.0008, 0.0001, 11.997124350269175], init_params:[3, 8, -0.3, -0.3, 7], optimal_params:[4.308515408741919, 6.3471454905347855, -0.13597638717571048, -0.2604625204966191, 11.997124350269175], encoded_infidelity:0.0033917714640269232, benchmark_infidelity:0.003386684471414214, diff:5.086992612709108e-06, ratio:1.0015020568510726
