scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999395702529798, 4, 8.999596082441423], meas_params:[-0.12650337482243557, -0.128581684764855], noise_params:[0.0001, 1.584893192461114e-05, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999395702529798, 8.999596082441423, -0.12650337482243557, -0.128581684764855], encoded_infidelity:1.195943058807103e-05, benchmark_infidelity:3.5973429485469666e-05, diff:-2.4013998897398636e-05, ratio:0.33245177785736735
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999541211317899, 4, 8.87621166658159], meas_params:[-0.13796835105441668, -0.1408468618168362], noise_params:[0.0002, 1.584893192461114e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999541211317899, 8.87621166658159, -0.13796835105441668, -0.1408468618168362], encoded_infidelity:4.5014165571122255e-05, benchmark_infidelity:6.930288099782356e-05, diff:-2.42887154267013e-05, ratio:0.6495280560202962
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.590630361653762, 4, 8.256187723224096], meas_params:[-0.1437734152167775, -0.14443474756215405], noise_params:[0.0004, 1.584893192461114e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.590630361653762, 8.256187723224096, -0.1437734152167775, -0.14443474756215405], encoded_infidelity:0.00020391510626061038, benchmark_infidelity:0.00013595428550028377, diff:6.796082076032661e-05, ratio:1.4998799450141993
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.91237769278432, 4, 8.595662952145675], meas_params:[-0.14390846324475298, -0.14461813691998027], noise_params:[0.00030000000000000003, 1.584893192461114e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.91237769278432, 8.595662952145675, -0.14390846324475298, -0.14461813691998027], encoded_infidelity:0.00010850451193533672, benchmark_infidelity:0.00010262983293307659, diff:5.87467900226013e-06, ratio:1.057241435890195
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999976303231083, 4, 8.758406246863395], meas_params:[-0.14212714353519867, -0.14332031977579465], noise_params:[0.00025, 1.584893192461114e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999976303231083, 8.758406246863395, -0.14212714353519867, -0.14332031977579465], encoded_infidelity:7.254899844133522e-05, benchmark_infidelity:8.596666939952868e-05, diff:-1.3417670958193462e-05, ratio:0.8439200791200243
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.99964247623327, 4, 8.996240790515486], meas_params:[-0.12609378084396256, -0.12821620824852661], noise_params:[0.0001, 2.5118864315095822e-05, 1], init_params:[5, 5, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.99964247623327, 8.996240790515486, -0.12609378084396256, -0.12821620824852661], encoded_infidelity:1.2642940498075461e-05, benchmark_infidelity:3.751832514664599e-05, diff:-2.487538464857053e-05, ratio:0.3369804075384132
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999266627589911, 4, 8.89538700617846], meas_params:[-0.1383579207402314, -0.13960702075339493], noise_params:[0.0002, 2.5118864315095822e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999266627589911, 8.89538700617846, -0.1383579207402314, -0.13960702075339493], encoded_infidelity:4.670849017429646e-05, benchmark_infidelity:7.084769941634317e-05, diff:-2.413920924204671e-05, ratio:0.6592802668130354
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.61655129089949, 4, 8.272650113547279], meas_params:[-0.14342524324718572, -0.14421007878290168], noise_params:[0.0004, 2.5118864315095822e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.61655129089949, 8.272650113547279, -0.14342524324718572, -0.14421007878290168], encoded_infidelity:0.0002089978448319707, benchmark_infidelity:0.00013749894944459218, diff:7.149889538737852e-05, ratio:1.51999593943218
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.941607959150843, 4, 8.615494266181521], meas_params:[-0.143549282721006, -0.14439211950499697], noise_params:[0.00030000000000000003, 2.5118864315095822e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.941607959150843, 8.615494266181521, -0.143549282721006, -0.14439211950499697], encoded_infidelity:0.00011152739287789704, benchmark_infidelity:0.0001041745741124922, diff:7.352818765404834e-06, ratio:1.070581702186418
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:TRANSPOSE, code_params:[4, 8.999597184589826, 4, 8.773870189938172], meas_params:[-0.14122850814295992, -0.1431968776567648], noise_params:[0.00025, 2.5118864315095822e-05, 1], init_params:[8, 8, -0.09817477042468103, -0.09817477042468103], optimal_params:[8.999597184589826, 8.773870189938172, -0.14122850814295992, -0.1431968776567648], encoded_infidelity:7.48299830956034e-05, benchmark_infidelity:8.75114491990514e-05, diff:-1.2681466103448003e-05, ratio:0.8550879202719743
