scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.000089124984218, 2, 5.000089124984218], meas_params:[-0.3058346850311754, -0.3058346850311754], noise_params:[0.0004, 0.001, 5.270414200880115], init_params:[2, -0.39269908169872414, 5], optimal_params:[5.000089124984218, -0.3058346850311754, 5.270414200880115], encoded_infidelity:0.002165577903436966, benchmark_infidelity:0.0015784884672521704, diff:0.0005870894361847956, ratio:1.3719314067633321
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.000089124984218, 2, 5.000089124984218], meas_params:[-0.3058346850311754, -0.3058346850311754], noise_params:[0.0004, 0.001, 5.270414200880115], init_params:[2, -0.39269908169872414, 5], optimal_params:[5.000089124984218,-0.3058346850311754,5.270414200880115], encoded_infidelity:0.002165577903436966, benchmark_infidelity:0.0015784884672521704, diff:0.0005870894361847956, ratio:1.3719314067633321
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.964301046621251, 2, 4.964301046621251], meas_params:[-0.30614168375608164, -0.30614168375608164], noise_params:[0.0004, 0.001, 4.928096320889037], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.964301046621251, -0.30614168375608164, 4.928096320889037], encoded_infidelity:0.002020338777197872, benchmark_infidelity:0.0014761242049531331, diff:0.0005442145722447389, ratio:1.3686780356413284
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.964301046621251, 2, 4.964301046621251], meas_params:[-0.30614168375608164, -0.30614168375608164], noise_params:[0.0004, 0.001, 4.928096320889037], init_params:[4, -0.39269908169872414, 10], optimal_params:[4.964301046621251,-0.30614168375608164,4.928096320889037], encoded_infidelity:0.002020338777197872, benchmark_infidelity:0.0014761242049531331, diff:0.0005442145722447389, ratio:1.3686780356413284
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.068683891838383, 2, 5.068683891838383], meas_params:[-0.31096639054911257, -0.31096639054911257], noise_params:[0.0004, 0.001, 4.754045462435322], init_params:[6, -0.39269908169872414, 15], optimal_params:[5.068683891838383, -0.31096639054911257, 4.754045462435322], encoded_infidelity:0.001955540259111266, benchmark_infidelity:0.0014240687853103173, diff:0.0005314714738009485, ratio:1.3732063221125488
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.068683891838383, 2, 5.068683891838383], meas_params:[-0.31096639054911257, -0.31096639054911257], noise_params:[0.0004, 0.001, 4.754045462435322], init_params:[6, -0.39269908169872414, 15], optimal_params:[5.068683891838383,-0.31096639054911257,4.754045462435322], encoded_infidelity:0.001955540259111266, benchmark_infidelity:0.0014240687853103173, diff:0.0005314714738009485, ratio:1.3732063221125488
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.512343627815422, 2, 5.512343627815422], meas_params:[-0.37258754371522573, -0.37258754371522573], noise_params:[0.0004, 0.001, -4.876990916327088], init_params:[8, -0.39269908169872414, 20], optimal_params:[5.0268414538108335,-0.3302821892415875,3.249900174771355], encoded_infidelity:0.00145482638001726, benchmark_infidelity:0.0009739673912841917, diff:0.0004808589887330683, ratio:1.493711589357266
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.944418959272085, 2, 4.944418959272085], meas_params:[-0.3049088945066225, -0.3049088945066225], noise_params:[0.00030000000000000003, 0.001, 2.2292430199104976], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.944418959272085, -0.3049088945066225, 2.2292430199104976], encoded_infidelity:0.000785409097934342, benchmark_infidelity:0.0005940777737967196, diff:0.00019133132413762244, ratio:1.3220644376490205
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.944418959272085, 2, 4.944418959272085], meas_params:[-0.3049088945066225, -0.3049088945066225], noise_params:[0.00030000000000000003, 0.001, 2.2292430199104976], init_params:[2, -0.39269908169872414, 5], optimal_params:[4.944418959272085,-0.3049088945066225,2.2292430199104976], encoded_infidelity:0.000785409097934342, benchmark_infidelity:0.0005940777737967196, diff:0.00019133132413762244, ratio:1.3220644376490205
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.23997017032284, 2, 5.23997017032284], meas_params:[-0.30863454547301483, -0.30863454547301483], noise_params:[0.00030000000000000003, 0.001, 4.484281293903244], init_params:[4, -0.39269908169872414, 10], optimal_params:[5.23997017032284, -0.30863454547301483, 4.484281293903244], encoded_infidelity:0.0012716081846807503, benchmark_infidelity:0.0011942429784085329, diff:7.736520627221743e-05, ratio:1.0647817970638735
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.23997017032284, 2, 5.23997017032284], meas_params:[-0.30863454547301483, -0.30863454547301483], noise_params:[0.00030000000000000003, 0.001, 4.484281293903244], init_params:[4, -0.39269908169872414, 10], optimal_params:[5.23997017032284,-0.30863454547301483,4.484281293903244], encoded_infidelity:0.0012716081846807503, benchmark_infidelity:0.0011942429784085329, diff:7.736520627221743e-05, ratio:1.0647817970638735
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 4.870318518025751, 2, 4.870318518025751], meas_params:[-0.3355677546009588, -0.3355677546009588], noise_params:[0.00030000000000000003, 0.001, -1.4373119800958953], init_params:[6, -0.39269908169872414, 15], optimal_params:[5.071232125655909,-0.35026226277127903,2.330818102853236], encoded_infidelity:0.0010001480649108885, benchmark_infidelity:0.0006211283978198034, diff:0.00037901966709108503, ratio:1.6102114609820868
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[2, 5.422504367714083, 2, 5.422504367714083], meas_params:[-0.3150605081952793, -0.3150605081952793], noise_params:[0.00030000000000000003, 0.001, -0.2705948898461088], init_params:[8, -0.39269908169872414, 20], optimal_params:[5.037494593278844,-0.28154926440063466,4.959463470067526], encoded_infidelity:0.001496619713063474, benchmark_infidelity:0.0013206090830942818, diff:0.00017601062996919214, ratio:1.1332798874567684
scheme:KNILL, decoding_scheme:MAXIMUM_LIKELIHOOD, ideal_decoder:FAST, code_params:[3, 5.540035817710697, 3, 5.540035817710697], meas_params:[-0.09849010991319143, -0.09849010991319143], noise_params:[0.0001, 0.001, -1.1814160697048504], init_params:[2, -0.34906585039886584, 5], optimal_params:[5.304841106538619,0.02965476934754077,1.542233462886725], encoded_infidelity:0.0015148766660354474, benchmark_infidelity:0.0003083248292701235, diff:0.0012065518367653238, ratio:4.913249022537408
